Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
AAPL,2025-08-14,2025-08-15,90.0,C,142.35,142.65,142.25,2.0,4,232.52,5.218753476562499
AAPL,2025-08-14,2025-08-15,95.0,C,137.35,138.6,136.88,5.0,7,232.52,5.855471430664062
AAPL,2025-08-14,2025-08-15,100.0,C,131.95,133.4,127.65,10.0,7,232.52,4.773441533203124
AAPL,2025-08-14,2025-08-15,105.0,C,126.8,128.4,128.7,3.0,1,232.52,4.17187978515625
AAPL,2025-08-14,2025-08-15,110.0,C,121.85,123.6,123.0,1.0,11,232.52,4.429691962890624
AAPL,2025-08-14,2025-08-15,115.0,C,117.35,118.65,110.28,4.0,9,232.52,4.742191572265625
AAPL,2025-08-14,2025-08-15,120.0,C,111.95,113.55,110.15,145.0,1,232.52,4.019536225585938
AAPL,2025-08-14,2025-08-15,125.0,C,107.2,108.5,100.63,4.0,5,232.52,3.9960937597656248
AAPL,2025-08-14,2025-08-15,130.0,C,102.1,103.55,100.4,91.0,1,232.52,3.7226569433593752
AAPL,2025-08-14,2025-08-15,135.0,C,96.8,98.6,97.11,10.0,8,232.52,3.2500018749999997
AAPL,2025-08-14,2025-08-15,140.0,C,92.05,93.6,91.49,1.0,10,232.52,3.2968767578125
AAPL,2025-08-14,2025-08-15,145.0,C,86.95,88.65,86.9,5.0,7,232.52,3.05468986328125
AAPL,2025-08-14,2025-08-15,150.0,C,82.2,82.75,82.34,11.0,117,232.52,2.7734405664062503
AAPL,2025-08-14,2025-08-15,155.0,C,77.2,78.65,79.0,1.0,4,232.52,2.832034169921875
AAPL,2025-08-14,2025-08-15,160.0,C,71.8,73.5,72.7,2.0,49,232.52,2.2187544531249994
AAPL,2025-08-14,2025-08-15,165.0,C,66.8,68.6,68.7,36.0,59,232.52,2.156254609375
AAPL,2025-08-14,2025-08-15,170.0,C,62.45,62.7,63.3,4.0,332,232.52,1.6953140234375002
AAPL,2025-08-14,2025-08-15,175.0,C,57.05,58.65,54.79,6.0,27,232.52,2.0117237207031247
AAPL,2025-08-14,2025-08-15,177.5,C,54.75,56.1,57.4,1.0,4,232.52,1.99609376953125
AAPL,2025-08-14,2025-08-15,180.0,C,52.55,53.35,52.65,28.0,159,232.52,1.9296878515625
AAPL,2025-08-14,2025-08-15,182.5,C,49.2,51.15,47.25,1.0,1,232.52,1.5527366113281247
AAPL,2025-08-14,2025-08-15,185.0,C,46.8,48.4,46.15,3.0,51,232.52,1.3437532812499997
AAPL,2025-08-14,2025-08-15,187.5,C,44.65,46.15,47.0,13.0,14,232.52,1.6308612207031248
AAPL,2025-08-14,2025-08-15,190.0,C,41.8,42.9,42.05,1.0,61,232.52,1.5468772656249998
AAPL,2025-08-14,2025-08-15,192.5,C,39.8,40.95,34.65,3.0,0,232.52,1.443362158203125
AAPL,2025-08-14,2025-08-15,195.0,C,37.55,38.0,36.95,9.0,114,232.52,1.2812535937499998
AAPL,2025-08-14,2025-08-15,197.5,C,34.75,35.2,34.75,23.0,3154,232.52,1.1328168359375002
AAPL,2025-08-14,2025-08-15,200.0,C,32.55,32.7,32.65,1202.0,10690,232.52,0.9687503125
AAPL,2025-08-14,2025-08-15,202.5,C,30.05,30.5,29.2,25.0,935,232.52,1.0468797656250002
AAPL,2025-08-14,2025-08-15,205.0,C,27.5,27.75,27.66,185.0,12989,232.52,0.8300798242187499
AAPL,2025-08-14,2025-08-15,207.5,C,24.85,25.25,25.67,104.0,4964,232.52,0.632816171875
AAPL,2025-08-14,2025-08-15,210.0,C,22.55,22.8,22.5,567.0,16923,232.52,0.7421900781249999
AAPL,2025-08-14,2025-08-15,212.5,C,20.05,20.25,20.25,174.0,6535,232.52,0.648441015625
