Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
AMZN,2025-08-14,2025-08-15,85.0,C,147.7,148.5,144.8,2.0,126,232.29,7.164063544921875
AMZN,2025-08-14,2025-08-15,90.0,C,142.8,143.35,131.25,35.0,50,232.29,6.7500015625000005
AMZN,2025-08-14,2025-08-15,95.0,C,137.3,138.85,124.77,2.0,81,232.29,6.398439501953126
AMZN,2025-08-14,2025-08-15,100.0,C,132.85,133.15,123.3,5.0,617,232.29,5.960940048828125
AMZN,2025-08-14,2025-08-15,105.0,C,127.85,128.5,124.65,3.0,50,232.29,5.867190166015625
AMZN,2025-08-14,2025-08-15,110.0,C,122.75,123.6,120.09,1.0,36,232.29,5.558596801757812
AMZN,2025-08-14,2025-08-15,115.0,C,117.55,118.6,109.82,2.0,51,232.29,5.150394187011719
AMZN,2025-08-14,2025-08-15,120.0,C,112.65,113.05,101.3,1.0,706,232.29,4.5996136254882805
AMZN,2025-08-14,2025-08-15,125.0,C,107.3,108.85,97.2,10.0,139,232.29,4.605472993164062
AMZN,2025-08-14,2025-08-15,130.0,C,102.9,103.15,101.9,5.0,583,232.29,4.298832751464843
AMZN,2025-08-14,2025-08-15,135.0,C,97.65,98.9,95.8,7.0,146,232.29,4.280278087158203
AMZN,2025-08-14,2025-08-15,140.0,C,92.75,93.7,85.03,1.0,388,232.29,3.99218751953125
AMZN,2025-08-14,2025-08-15,145.0,C,87.65,88.45,87.28,1.0,440,232.29,3.6074228564453126
AMZN,2025-08-14,2025-08-15,150.0,C,82.9,83.15,81.13,39.0,4470,232.29,3.3632828417968748
AMZN,2025-08-14,2025-08-15,155.0,C,77.9,78.5,76.05,4.0,347,232.29,3.280275236816406
AMZN,2025-08-14,2025-08-15,160.0,C,72.9,73.15,70.7,69.0,3694,232.29,2.9355495361328128
AMZN,2025-08-14,2025-08-15,165.0,C,67.8,68.2,64.6,2.0,684,232.29,2.712893842773437
AMZN,2025-08-14,2025-08-15,170.0,C,62.75,63.25,62.2,18.0,1659,232.29,2.512699030761718
AMZN,2025-08-14,2025-08-15,175.0,C,57.75,58.1,55.3,664.0,3174,232.29,2.2656293359374997
AMZN,2025-08-14,2025-08-15,180.0,C,52.8,53.1,52.21,233.0,16118,232.29,2.0937547656249995
AMZN,2025-08-14,2025-08-15,185.0,C,47.8,48.1,47.96,40.0,1653,232.29,1.9072270263671878
AMZN,2025-08-14,2025-08-15,187.5,C,45.35,46.35,34.46,1.0,1,232.29,2.0185596411132813
AMZN,2025-08-14,2025-08-15,190.0,C,42.9,43.1,42.45,95.0,5385,232.29,1.7509778076171876
AMZN,2025-08-14,2025-08-15,195.0,C,37.9,38.1,37.78,43.0,2043,232.29,1.5673849755859375
AMZN,2025-08-14,2025-08-15,197.5,C,35.15,36.2,32.01,1.0,27,232.29,1.5556662841796873
AMZN,2025-08-14,2025-08-15,200.0,C,32.85,33.1,32.9,327.0,14545,232.29,1.3740265673828125
AMZN,2025-08-14,2025-08-15,202.5,C,30.35,30.7,27.0,3.0,418,232.29,1.3056675341796873
AMZN,2025-08-14,2025-08-15,205.0,C,27.85,28.05,27.89,210.0,3874,232.29,1.18359783203125
AMZN,2025-08-14,2025-08-15,207.5,C,25.1,25.6,24.65,138.0,659,232.29,1.05078599609375
AMZN,2025-08-14,2025-08-15,210.0,C,22.85,23.1,22.93,595.0,10362,232.29,1.013676806640625
AMZN,2025-08-14,2025-08-15,212.5,C,20.35,20.7,20.44,142.0,2569,232.29,0.940430283203125
AMZN,2025-08-14,2025-08-15,215.0,C,18.0,18.2,18.15,2418.0,18254,232.29,0.8710950390625
AMZN,2025-08-14,2025-08-15,217.5,C,15.3,15.6,15.25,404.0,4501,232.29,0.7309597216796875
AMZN,2025-08-14,2025-08-15,220.0,C,13.0,13.2,13.1,6310.0,54168,232.29,0.6792024267578126
AMZN,2025-08-14,2025-08-15,222.5,C,10.5,10.7,10.65,3755.0,10388,232.29,0.5805706005859376
AMZN,2025-08-14,2025-08-15,225.0,C,8.0,8.2,8.15,32699.0,29003,232.29,0.4995167236328125
AMZN,2025-08-14,2025-08-15,227.5,C,5.65,5.75,5.68,35714.0,23999,232.29,0.39893179199218753
AMZN,2025-08-14,2025-08-15,230.0,C,3.5,3.6,3.6,189200.0,45143,232.29,0.33301448242187504
AMZN,2025-08-14,2025-08-15,232.5,C,1.86,1.89,1.89,108652.0,19998,232.29,0.29053443847656246
AMZN,2025-08-14,2025-08-15,235.0,C,0.81,0.83,0.82,69508.0,25990,232.29,0.27295648925781246
