Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
GOOGL,2025-08-14,2025-08-15,75.0,C,127.9,128.65,128.6,15,128,202.9565,6.26562716796875
GOOGL,2025-08-14,2025-08-15,80.0,C,122.8,124.35,124.82,1,80,202.9565,6.523439345703126
GOOGL,2025-08-14,2025-08-15,85.0,C,118.05,118.35,108.44,2,344,202.9565,5.3242220947265615
GOOGL,2025-08-14,2025-08-15,90.0,C,112.6,113.55,114.15,150,1285,202.9565,4.554691806640625
GOOGL,2025-08-14,2025-08-15,95.0,C,107.5,108.45,108.68,5,723,202.9565,3.5312511718749997
GOOGL,2025-08-14,2025-08-15,100.0,C,102.6,103.4,102.55,1,430,202.9565,3.5781260546875
GOOGL,2025-08-14,2025-08-15,105.0,C,97.85,98.35,98.65,1,705,202.9565,3.843750390625
GOOGL,2025-08-14,2025-08-15,110.0,C,92.6,93.45,90.71,1,706,202.9565,3.281251796875
GOOGL,2025-08-14,2025-08-15,115.0,C,88.15,88.35,78.67,1,434,202.9565,3.71093822265625
GOOGL,2025-08-14,2025-08-15,120.0,C,82.9,83.5,83.73,27,281,202.9565,3.3671890820312496
GOOGL,2025-08-14,2025-08-15,125.0,C,78.1,78.45,76.5,1,312,202.9565,3.2617205957031246
GOOGL,2025-08-14,2025-08-15,130.0,C,72.75,73.45,73.63,2,8058,202.9565,2.69531576171875
GOOGL,2025-08-14,2025-08-15,135.0,C,68.05,69.35,69.75,1,221,202.9565,3.2578143554687498
GOOGL,2025-08-14,2025-08-15,140.0,C,63.25,63.45,64.17,12,8488,202.9565,2.6757845605468753
GOOGL,2025-08-14,2025-08-15,145.0,C,58.15,58.4,58.4,1,863,202.9565,2.3710978222656243
GOOGL,2025-08-14,2025-08-15,150.0,C,53.15,53.45,54.1,19,3281,202.9565,2.1914107714843745
GOOGL,2025-08-14,2025-08-15,155.0,C,48.2,48.35,49.0,8,2604,202.9565,1.962890810546875
GOOGL,2025-08-14,2025-08-15,160.0,C,43.35,43.55,43.4,13,7001,202.9565,1.9160160449218753
GOOGL,2025-08-14,2025-08-15,162.5,C,40.8,41.4,41.5,20,58,202.9565,1.9150394873046879
GOOGL,2025-08-14,2025-08-15,165.0,C,38.2,38.4,38.75,51,6580,202.9565,1.5927754736328121
GOOGL,2025-08-14,2025-08-15,167.5,C,35.95,37.0,35.58,1,10,202.9565,1.8974614501953124
GOOGL,2025-08-14,2025-08-15,170.0,C,33.5,33.7,33.35,79,17491,202.9565,1.5966817041015622
GOOGL,2025-08-14,2025-08-15,172.5,C,30.3,31.2,30.6,4,75,202.9565,1.2656286718749998
GOOGL,2025-08-14,2025-08-15,175.0,C,28.2,28.4,28.5,236,9815,202.9565,1.2089883300781248
GOOGL,2025-08-14,2025-08-15,177.5,C,25.6,25.9,26.22,6,174,202.9565,1.0800827246093752
GOOGL,2025-08-14,2025-08-15,180.0,C,23.2,23.4,24.05,172,11836,202.9565,1.01953615234375
GOOGL,2025-08-14,2025-08-15,182.5,C,20.9,21.2,21.87,25,582,202.9565,1.0517625537109376
GOOGL,2025-08-14,2025-08-15,185.0,C,18.5,18.75,18.5,225,9445,202.9565,0.9785158398437501
GOOGL,2025-08-14,2025-08-15,187.5,C,15.85,16.05,16.77,46,1117,202.9565,0.8037129003906249
GOOGL,2025-08-14,2025-08-15,190.0,C,13.3,13.45,13.46,550,18735,202.9565,0.6709017285156251
GOOGL,2025-08-14,2025-08-15,192.5,C,10.85,11.05,11.25,147,3244,202.9565,0.5971719970703125
GOOGL,2025-08-14,2025-08-15,195.0,C,8.65,8.85,8.8,533,13305,202.9565,0.5756878369140624
GOOGL,2025-08-14,2025-08-15,197.5,C,6.15,6.3,6.15,578,3312,202.9565,0.46582565429687506
GOOGL,2025-08-14,2025-08-15,200.0,C,3.95,4.05,4.0,3780,31926,202.9565,0.38184211914062494
GOOGL,2025-08-14,2025-08-15,202.5,C,2.19,2.22,2.38,9554,9576,202.9565,0.33130551513671874
GOOGL,2025-08-14,2025-08-15,205.0,C,1.01,1.04,1.02,27774,32189,202.9565,0.313483427734375
GOOGL,2025-08-14,2025-08-15,207.5,C,0.44,0.46,0.44,5137,23127,202.9565,0.32031929687499994
GOOGL,2025-08-14,2025-08-15,210.0,C,0.2,0.21,0.22,5962,23419,202.9565,0.3398503515625
GOOGL,2025-08-14,2025-08-15,212.5,C,0.1,0.11,0.1,1429,11494,202.9565,0.370123486328125
GOOGL,2025-08-14,2025-08-15,215.0,C,0.06,0.07,0.06,2740,13926,202.9565,0.4101621484375
GOOGL,2025-08-14,2025-08-15,217.5,C,0.03,0.04,0.04,1924,1682,202.9565,0.437505625
GOOGL,2025-08-14,2025-08-15,220.0,C,0.02,0.03,0.03,556,27656,202.9565,0.4804739453125
GOOGL,2025-08-14,2025-08-15,222.5,C,0.0,0.02,0.01,1255,2651,202.9565,0.5117236328125
GOOGL,2025-08-14,2025-08-15,225.0,C,0.0,0.01,0.01,19,8103,202.9565,0.523442265625
GOOGL,2025-08-14,2025-08-15,230.0,C,0.0,0.01,0.01,6,12152,202.9565,0.57812921875
GOOGL,2025-08-14,2025-08-15,235.0,C,0.0,0.01,0.01,201,2505,202.9565,0.6718782812500002
GOOGL,2025-08-14,2025-08-15,240.0,C,0.0,0.01,0.01,38,2935,202.9565,0.7500025
GOOGL,2025-08-14,2025-08-15,245.0,C,0.0,0.01,0.01,565,2223,202.9565,0.8437515624999999
GOOGL,2025-08-14,2025-08-15,250.0,C,0.0,0.01,0.01,764,2921,202.9565,0.937500625
GOOGL,2025-08-14,2025-08-15,255.0,C,0.0,0.01,0.01,1,1049,202.9565,1.000005
GOOGL,2025-08-14,2025-08-15,260.0,C,0.0,0.01,0.01,125,2648,202.9565,1.0625046875000002
GOOGL,2025-08-14,2025-08-15,265.0,C,0.0,0.44,0.02,55,43,202.9565,1.75390748046875
GOOGL,2025-08-14,2025-08-15,270.0,C,0.0,0.02,0.01,4,501,202.9565,1.3125034374999998
GOOGL,2025-08-14,2025-08-15,275.0,C,0.0,0.08,0.01,38,392,202.9565,1.5781271093749998
GOOGL,2025-08-14,2025-08-15,280.0,C,0.0,0.01,0.01,79,1253,202.9565,1.3750031249999999
GOOGL,2025-08-14,2025-08-15,290.0,C,0.0,0.02,0.02,1,926,202.9565,1.5937520312499998
