Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
MSFT,2025-08-14,2025-08-15,180.0,C,341.15,344.4,344.55,2.0,3,521.32,7.273438408203125
MSFT,2025-08-14,2025-08-15,185.0,C,253.7,256.4,186.0,,10,521.32,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,195.0,C,281.7,285.5,263.8,,1,521.32,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,200.0,C,321.15,324.6,330.25,2.0,30,521.32,6.6738297827148445
MSFT,2025-08-14,2025-08-15,210.0,C,311.1,314.0,316.95,1.0,4,521.32,6.125002343749999
MSFT,2025-08-14,2025-08-15,220.0,C,301.25,304.25,310.0,6.0,2,521.32,5.980471274414063
MSFT,2025-08-14,2025-08-15,225.0,C,251.8,255.75,228.0,1.0,3,521.32,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,230.0,C,291.3,294.45,294.58,2.0,35,521.32,5.77832308959961
MSFT,2025-08-14,2025-08-15,235.0,C,286.25,289.3,278.23,21.0,31,521.32,5.57812802734375
MSFT,2025-08-14,2025-08-15,245.0,C,148.5,152.2,175.6,,29,521.32,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,250.0,C,271.7,274.45,277.18,1.0,83,521.32,5.355472055664061
MSFT,2025-08-14,2025-08-15,255.0,C,266.15,269.6,273.3,1.0,32,521.32,5.117191103515625
MSFT,2025-08-14,2025-08-15,260.0,C,261.65,264.5,259.7,1.0,47,521.32,5.09961300048828
MSFT,2025-08-14,2025-08-15,265.0,C,256.65,259.45,265.54,5.0,22,521.32,4.962894421386719
MSFT,2025-08-14,2025-08-15,270.0,C,251.15,254.5,252.95,1.0,27,521.32,4.724613469238281
MSFT,2025-08-14,2025-08-15,275.0,C,246.5,249.45,246.35,3.0,75,521.32,4.684574456787109
MSFT,2025-08-14,2025-08-15,280.0,C,241.5,244.35,250.61,5.0,48,521.32,4.542973071289062
MSFT,2025-08-14,2025-08-15,285.0,C,236.2,239.45,239.38,1.0,81,521.32,4.378910776367187
MSFT,2025-08-14,2025-08-15,290.0,C,222.7,226.5,203.6,2.0,21,521.32,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,295.0,C,226.15,229.25,244.67,4.0,21,521.32,4.09668456665039
MSFT,2025-08-14,2025-08-15,300.0,C,221.8,224.05,223.83,1.0,69,521.32,4.09668456665039
MSFT,2025-08-14,2025-08-15,305.0,C,216.3,219.05,230.75,1.0,13,521.32,3.8730471923828125
MSFT,2025-08-14,2025-08-15,310.0,C,211.6,214.0,216.38,54.0,82,521.32,3.8281254296875
MSFT,2025-08-14,2025-08-15,315.0,C,206.45,209.5,215.0,1.0,35,521.32,3.801270028076172
MSFT,2025-08-14,2025-08-15,320.0,C,201.7,204.6,202.91,2.0,80,521.32,3.767578706054688
MSFT,2025-08-14,2025-08-15,325.0,C,196.55,199.45,199.15,1.0,83,521.32,3.6064462963867188
MSFT,2025-08-14,2025-08-15,330.0,C,191.3,193.7,194.41,1.0,100,521.32,3.291993957519531
MSFT,2025-08-14,2025-08-15,335.0,C,186.7,188.75,191.61,1.0,117,521.32,3.2968767578125
MSFT,2025-08-14,2025-08-15,340.0,C,181.55,184.45,185.4,3.0,82,521.32,3.3095720385742187
MSFT,2025-08-14,2025-08-15,345.0,C,167.7,171.65,154.75,1.0,45,521.32,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,350.0,C,172.4,173.65,175.01,2868.0,3056,521.32,3.1259787475585936
MSFT,2025-08-14,2025-08-15,355.0,C,166.85,168.75,168.97,1.0,198,521.32,2.951174497070312
MSFT,2025-08-14,2025-08-15,360.0,C,161.35,163.75,164.64,2789.0,3866,521.32,2.7636749658203126
MSFT,2025-08-14,2025-08-15,365.0,C,157.0,158.75,159.21,2.0,207,521.32,2.7949248876953128
MSFT,2025-08-14,2025-08-15,370.0,C,151.85,153.75,153.84,1.0,637,521.32,2.67969080078125
MSFT,2025-08-14,2025-08-15,375.0,C,146.85,148.75,147.62,4.0,406,521.32,2.5908238354492186
MSFT,2025-08-14,2025-08-15,380.0,C,142.05,143.75,143.7,3.0,804,521.32,2.535159912109375
MSFT,2025-08-14,2025-08-15,385.0,C,136.7,138.6,139.07,2.0,391,521.32,2.3671915820312495
MSFT,2025-08-14,2025-08-15,390.0,C,132.2,133.75,133.1,2.0,606,521.32,2.3828165429687496
MSFT,2025-08-14,2025-08-15,395.0,C,127.05,128.75,128.42,18.0,418,521.32,2.274418376464843
MSFT,2025-08-14,2025-08-15,400.0,C,122.5,123.6,124.0,15.0,11844,521.32,2.2304731738281243
MSFT,2025-08-14,2025-08-15,405.0,C,116.85,118.65,119.21,3.0,502,521.32,2.062016563720703
MSFT,2025-08-14,2025-08-15,410.0,C,111.8,113.65,113.75,5.0,1458,521.32,1.9721681079101563
MSFT,2025-08-14,2025-08-15,415.0,C,106.85,108.7,109.4,49.0,1334,521.32,1.9033207958984377
MSFT,2025-08-14,2025-08-15,420.0,C,102.0,103.3,103.47,18.0,1292,521.32,1.7880869970703124
MSFT,2025-08-14,2025-08-15,425.0,C,96.15,98.85,97.9,11.0,2283,521.32,1.6665055737304688
MSFT,2025-08-14,2025-08-15,430.0,C,92.25,93.2,93.82,26.0,4511,521.32,1.6469744213867186
MSFT,2025-08-14,2025-08-15,435.0,C,87.4,88.45,87.98,5.0,1342,521.32,1.61328318359375
MSFT,2025-08-14,2025-08-15,440.0,C,82.3,83.0,82.3,9.0,13430,521.32,1.4692409350585938
MSFT,2025-08-14,2025-08-15,445.0,C,76.7,78.2,79.26,48.0,1315,521.32,1.3422884448242183
MSFT,2025-08-14,2025-08-15,450.0,C,71.75,72.85,73.0,31.0,12469,521.32,1.2280312036132814
MSFT,2025-08-14,2025-08-15,455.0,C,66.9,67.85,69.23,7.0,1617,521.32,1.1713908618164064
MSFT,2025-08-14,2025-08-15,457.5,C,64.3,66.25,63.66,8.0,8,521.32,1.2192421850585937
MSFT,2025-08-14,2025-08-15,460.0,C,62.2,64.1,64.36,16.0,2664,521.32,1.2478064953613281
MSFT,2025-08-14,2025-08-15,462.5,C,59.35,61.25,61.75,1.0,3,521.32,1.144291387939453
MSFT,2025-08-14,2025-08-15,465.0,C,56.65,57.5,59.2,38.0,1742,521.32,0.9497075341796875
MSFT,2025-08-14,2025-08-15,467.5,C,54.35,56.2,54.11,2.0,0,521.32,1.0600632934570315
MSFT,2025-08-14,2025-08-15,470.0,C,52.15,52.7,52.84,127.0,3189,521.32,0.9545902978515625
