Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
NVDA,2025-08-14,2025-08-15,5.0,C,176.25,177.6,176.11,2.0,2524,181.57,24.50000234375
NVDA,2025-08-14,2025-08-15,10.0,C,169.85,173.55,170.9,30.0,186,181.57,16.468754853515627
NVDA,2025-08-14,2025-08-15,15.0,C,164.9,168.65,166.05,10.0,208,181.57,14.859375712890625
NVDA,2025-08-14,2025-08-15,20.0,C,159.85,164.1,159.9,35.0,32,181.57,14.40625099609375
NVDA,2025-08-14,2025-08-15,25.0,C,156.0,158.0,157.02,15.0,243,181.57,13.015626865234374
NVDA,2025-08-14,2025-08-15,30.0,C,151.1,152.8,152.6,13.0,41,181.57,11.578127763671876
NVDA,2025-08-14,2025-08-15,35.0,C,144.85,149.1,146.6,10.0,35,181.57,10.687503320312501
NVDA,2025-08-14,2025-08-15,40.0,C,141.0,143.5,142.88,6.0,92,181.57,10.687503320312501
NVDA,2025-08-14,2025-08-15,45.0,C,136.25,137.65,137.9,14.0,86,181.57,9.000004375
NVDA,2025-08-14,2025-08-15,50.0,C,131.45,132.45,132.0,19.0,554,181.57,8.347661032714843
NVDA,2025-08-14,2025-08-15,55.0,C,126.15,127.6,127.05,17.0,422,181.57,7.511719360351563
NVDA,2025-08-14,2025-08-15,60.0,C,121.7,122.7,122.8,8.0,537,181.57,7.82812521484375
NVDA,2025-08-14,2025-08-15,65.0,C,114.85,118.4,117.23,3.0,448,181.57,5.265628417968749
NVDA,2025-08-14,2025-08-15,70.0,C,111.3,112.55,111.58,20.0,3889,181.57,6.214845981445313
NVDA,2025-08-14,2025-08-15,75.0,C,105.95,108.85,106.35,3.0,1207,181.57,6.679689150390626
NVDA,2025-08-14,2025-08-15,80.0,C,101.3,102.65,101.9,13.0,2160,181.57,5.519534350585937
NVDA,2025-08-14,2025-08-15,85.0,C,95.7,98.35,97.07,21.0,1307,181.57,5.246097192382813
NVDA,2025-08-14,2025-08-15,90.0,C,91.05,93.0,91.85,35.0,1549,181.57,4.886722641601562
NVDA,2025-08-14,2025-08-15,95.0,C,86.7,87.7,87.15,23.0,3927,181.57,4.812503984374999
NVDA,2025-08-14,2025-08-15,100.0,C,81.6,82.25,81.75,177.0,9004,181.57,4.058598676757812
NVDA,2025-08-14,2025-08-15,105.0,C,76.7,77.7,77.3,139.0,4594,181.57,4.1543016821289065
NVDA,2025-08-14,2025-08-15,110.0,C,71.65,72.25,71.85,483.0,21942,181.57,3.519532451171875
NVDA,2025-08-14,2025-08-15,115.0,C,66.65,67.35,66.96,83.0,28094,181.57,3.3125017187499997
NVDA,2025-08-14,2025-08-15,120.0,C,61.85,62.15,61.98,412.0,42269,181.57,3.0449242626953126
NVDA,2025-08-14,2025-08-15,125.0,C,56.85,57.3,57.02,221.0,19252,181.57,2.869143452148437
NVDA,2025-08-14,2025-08-15,130.0,C,51.85,52.1,51.95,469.0,18913,181.57,2.5058631103515623
NVDA,2025-08-14,2025-08-15,131.0,C,50.5,51.5,50.23,5.0,51,181.57,2.4843787890625
NVDA,2025-08-14,2025-08-15,132.0,C,49.7,50.45,49.7,25.0,87,181.57,2.5097693505859375
NVDA,2025-08-14,2025-08-15,133.0,C,48.4,49.6,49.11,16.0,2415,181.57,2.3867227832031244
NVDA,2025-08-14,2025-08-15,134.0,C,47.55,48.95,46.25,7.0,109,181.57,2.560550473632812
