Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
QQQ,2025-08-14,2025-08-14,450.0,C,128.83,132.33,129.17,7.0,0,579.34,2.7792999267578127
QQQ,2025-08-14,2025-08-14,455.0,C,123.83,127.31,119.27,1.0,1,579.34,2.673831440429688
QQQ,2025-08-14,2025-08-14,491.0,C,87.85,91.32,88.11,1.0,1,579.34,1.9638673681640624
QQQ,2025-08-14,2025-08-14,500.0,C,78.84,82.32,79.89,5.0,3,579.34,1.7866221606445314
QQQ,2025-08-14,2025-08-14,510.0,C,69.04,71.9,70.84,1.0,2,579.34,1.5600607934570312
QQQ,2025-08-14,2025-08-14,520.0,C,58.84,62.3,58.92,2.0,21,579.34,1.3955108349609375
QQQ,2025-08-14,2025-08-14,525.0,C,54.46,56.92,55.87,1.0,4,579.34,1.3271518017578123
QQQ,2025-08-14,2025-08-14,530.0,C,49.44,51.89,49.71,1.0,4,579.34,1.2221718579101561
QQQ,2025-08-14,2025-08-14,535.0,C,44.45,46.89,46.74,1.0,248,579.34,1.1240278173828124
QQQ,2025-08-14,2025-08-14,540.0,C,39.45,41.89,40.1,8.0,855,579.34,1.023930661621094
QQQ,2025-08-14,2025-08-14,541.0,C,38.43,40.9,22.67,,15,579.34,1.0029346728515625
QQQ,2025-08-14,2025-08-14,542.0,C,37.45,39.88,37.93,17.0,18,579.34,0.98242205078125
QQQ,2025-08-14,2025-08-14,543.0,C,36.5,38.84,36.5,50.0,6,579.34,0.9633792724609375
QQQ,2025-08-14,2025-08-14,544.0,C,35.42,37.91,34.18,1.0,1,579.34,0.9421392504882812
QQQ,2025-08-14,2025-08-14,545.0,C,34.51,36.85,34.8,11.0,80,579.34,0.9248054394531251
QQQ,2025-08-14,2025-08-14,546.0,C,33.46,35.93,26.15,4.0,17,579.34,0.9069833520507812
QQQ,2025-08-14,2025-08-14,547.0,C,32.44,34.89,32.66,2.0,5,579.34,0.8808605664062499
QQQ,2025-08-14,2025-08-14,548.0,C,31.45,33.87,24.93,2.0,4,579.34,0.8596205444335938
QQQ,2025-08-14,2025-08-14,550.0,C,30.17,31.89,31.1,1.0,418,579.34,0.8806164282226561
QQQ,2025-08-14,2025-08-14,551.0,C,28.45,30.92,28.41,1.0,8,579.34,0.8020039331054687
QQQ,2025-08-14,2025-08-14,552.0,C,27.58,29.8,28.96,1.0,13,579.34,0.7819846020507812
QQQ,2025-08-14,2025-08-14,553.0,C,26.52,28.83,26.7,1.0,142,579.34,0.7585473364257813
QQQ,2025-08-14,2025-08-14,554.0,C,25.63,27.57,24.98,256.0,296,579.34,0.7251004052734374
QQQ,2025-08-14,2025-08-14,555.0,C,24.58,26.85,26.26,67.0,301,579.34,0.7229031616210937
QQQ,2025-08-14,2025-08-14,556.0,C,23.64,25.57,24.28,38.0,54,579.34,0.6838410522460938
QQQ,2025-08-14,2025-08-14,557.0,C,22.64,24.79,23.61,37.0,247,579.34,0.6801789794921876
QQQ,2025-08-14,2025-08-14,558.0,C,21.49,23.89,21.55,5.0,94,579.34,0.6547886083984377
QQQ,2025-08-14,2025-08-14,559.0,C,20.61,22.49,20.22,22.0,174,579.34,0.611576149902344
QQQ,2025-08-14,2025-08-14,560.0,C,19.52,21.86,20.38,46.0,1420,579.34,0.6113320117187502
QQQ,2025-08-14,2025-08-14,561.0,C,18.56,20.86,20.57,30.0,697,579.34,0.5922892333984376
