Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
SPY,2025-08-14,2025-08-14,540.0,C,103.48,105.7,103.24,1.0,5,644.0712,1.7275404248046877
SPY,2025-08-14,2025-08-14,545.0,C,98.39,100.7,98.3,1.0,1,644.0712,1.626954990234375
SPY,2025-08-14,2025-08-14,560.0,C,83.39,85.7,84.01,2.0,3,644.0712,1.3994170654296876
SPY,2025-08-14,2025-08-14,565.0,C,78.31,80.68,68.88,,11,644.0712,1.2988316308593748
SPY,2025-08-14,2025-08-14,580.0,C,64.42,64.54,64.51,16.0,54,644.0712,1.0703171484375003
SPY,2025-08-14,2025-08-14,585.0,C,59.26,59.66,60.29,3.0,3,644.0712,0.9882813671875
SPY,2025-08-14,2025-08-14,590.0,C,54.23,54.74,53.33,8.0,7,644.0712,0.9248054394531251
SPY,2025-08-14,2025-08-14,595.0,C,49.42,49.61,49.72,3.0,11,644.0712,0.86132951171875
SPY,2025-08-14,2025-08-14,600.0,C,44.25,44.64,44.5,29.0,24,644.0712,0.7617211328125001
SPY,2025-08-14,2025-08-14,605.0,C,39.47,39.66,39.09,14.0,62,644.0712,0.7260769580078125
SPY,2025-08-14,2025-08-14,608.0,C,36.52,36.62,35.89,4.0,14,644.0712,0.6811555322265627
SPY,2025-08-14,2025-08-14,609.0,C,35.54,35.76,34.28,7.0,6,644.0712,0.6870148486328126
SPY,2025-08-14,2025-08-14,610.0,C,34.56,34.76,34.71,12.0,29,644.0712,0.6733431103515627
SPY,2025-08-14,2025-08-14,611.0,C,33.47,33.72,32.86,1.0,54,644.0712,0.6411168701171875
SPY,2025-08-14,2025-08-14,612.0,C,32.56,32.77,33.35,7.0,5,644.0712,0.6425816992187501
SPY,2025-08-14,2025-08-14,613.0,C,31.62,31.76,32.35,7.0,25,644.0712,0.6323278955078125
SPY,2025-08-14,2025-08-14,614.0,C,30.49,30.54,30.56,46.0,82,644.0712,0.5727581787109376
SPY,2025-08-14,2025-08-14,615.0,C,29.57,29.77,28.49,38.0,247,644.0712,0.5952188916015625
SPY,2025-08-14,2025-08-14,616.0,C,28.47,28.54,27.14,5.0,124,644.0712,0.5390671093750001
SPY,2025-08-14,2025-08-14,617.0,C,27.44,27.63,26.15,45.0,72,644.0712,0.5312546875
SPY,2025-08-14,2025-08-14,618.0,C,26.47,26.77,26.79,29.0,45,644.0712,0.5351608984375
SPY,2025-08-14,2025-08-14,619.0,C,25.43,25.63,23.9,3.0,108,644.0712,0.5212450219726561
SPY,2025-08-14,2025-08-14,620.0,C,24.44,24.77,24.18,23.0,169,644.0712,0.53320779296875
SPY,2025-08-14,2025-08-14,621.0,C,23.57,23.77,23.92,49.0,113,644.0712,0.5161181201171875
SPY,2025-08-14,2025-08-14,622.0,C,22.44,22.55,21.9,6.0,327,644.0712,0.45508357421875
SPY,2025-08-14,2025-08-14,623.0,C,21.57,21.69,21.61,15.0,96,644.0712,0.4670463452148438
SPY,2025-08-14,2025-08-14,624.0,C,20.55,20.62,20.29,42.0,108,644.0712,0.436529072265625
SPY,2025-08-14,2025-08-14,625.0,C,19.62,19.78,19.4,17.0,173,644.0712,0.44873598144531246
SPY,2025-08-14,2025-08-14,626.0,C,18.53,18.64,17.22,134.0,181,644.0712,0.4067442138671875
SPY,2025-08-14,2025-08-14,627.0,C,17.57,17.78,16.55,80.0,201,644.0712,0.41358008300781246
SPY,2025-08-14,2025-08-14,628.0,C,16.62,16.77,16.5,127.0,446,644.0712,0.3940490283203125
SPY,2025-08-14,2025-08-14,629.0,C,15.44,15.77,14.61,35.0,406,644.0712,0.375982802734375
SPY,2025-08-14,2025-08-14,630.0,C,14.54,14.56,14.52,335.0,1248,644.0712,0.3237372314453124
SPY,2025-08-14,2025-08-14,631.0,C,13.6,13.77,13.29,130.0,385,644.0712,0.33960621337890623
SPY,2025-08-14,2025-08-14,632.0,C,12.58,12.78,12.69,103.0,466,644.0712,0.3225165405273437
SPY,2025-08-14,2025-08-14,633.0,C,11.6,11.78,11.79,278.0,516,644.0712,0.30371790039062496
SPY,2025-08-14,2025-08-14,634.0,C,10.44,10.62,10.69,700.0,1253,644.0712,0.2624585473632813
SPY,2025-08-14,2025-08-14,635.0,C,9.49,9.54,9.5,937.0,1122,644.0712,0.23242955078125
SPY,2025-08-14,2025-08-14,636.0,C,8.47,8.54,8.49,525.0,1626,644.0712,0.21411918701171873
SPY,2025-08-14,2025-08-14,637.0,C,7.49,7.56,7.57,2794.0,1778,644.0712,0.198250205078125
SPY,2025-08-14,2025-08-14,638.0,C,6.59,6.64,6.63,1653.0,1172,644.0712,0.188484677734375
SPY,2025-08-14,2025-08-14,639.0,C,5.57,5.63,5.5,2920.0,2506,644.0712,0.16700051757812504
SPY,2025-08-14,2025-08-14,640.0,C,4.55,4.61,4.72,12882.0,3877,644.0712,0.14380739013671873
