Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
TSLA,2025-08-14,2025-08-15,100.0,C,233.5,234.2,233.15,22.0,1827,333.0382,7.996093754882812
TSLA,2025-08-14,2025-08-15,105.0,C,228.65,229.55,234.58,37.0,145,333.0382,8.027348732910156
TSLA,2025-08-14,2025-08-15,110.0,C,223.3,224.5,229.0,10.0,54,333.0382,7.466797541503906
TSLA,2025-08-14,2025-08-15,115.0,C,218.35,219.55,219.3,20.0,92,333.0382,7.2500009375
TSLA,2025-08-14,2025-08-15,120.0,C,213.3,214.55,221.3,2.0,153,333.0382,6.949220063476563
TSLA,2025-08-14,2025-08-15,125.0,C,208.65,209.8,194.15,1.0,29,333.0382,7.021485598144532
TSLA,2025-08-14,2025-08-15,130.0,C,203.7,204.85,203.85,8.0,136,333.0382,6.812501484375
TSLA,2025-08-14,2025-08-15,135.0,C,198.95,199.8,206.12,1.0,39,333.0382,6.652345434570314
TSLA,2025-08-14,2025-08-15,140.0,C,193.7,194.85,205.28,6.0,60,333.0382,6.320314599609375
TSLA,2025-08-14,2025-08-15,145.0,C,188.4,189.45,160.42,1.0,54,333.0382,5.753909057617188
TSLA,2025-08-14,2025-08-15,150.0,C,183.8,184.85,183.28,10.0,917,333.0382,5.905276055908203
TSLA,2025-08-14,2025-08-15,155.0,C,179.0,180.05,179.9,2.0,65,333.0382,5.839846450195314
TSLA,2025-08-14,2025-08-15,160.0,C,173.55,174.25,180.49,36.0,2223,333.0382,5.109378613281249
TSLA,2025-08-14,2025-08-15,165.0,C,169.0,170.1,176.26,1.0,751,333.0382,5.43066727416992
TSLA,2025-08-14,2025-08-15,170.0,C,163.75,164.85,163.8,21.0,457,333.0382,5.053714620361328
TSLA,2025-08-14,2025-08-15,175.0,C,158.65,159.8,164.76,3.0,145,333.0382,4.806644616699217
TSLA,2025-08-14,2025-08-15,180.0,C,154.05,154.95,159.07,1.0,397,333.0382,4.804691494140624
TSLA,2025-08-14,2025-08-15,185.0,C,148.4,149.5,151.33,2.0,241,333.0382,4.238285952148438
TSLA,2025-08-14,2025-08-15,190.0,C,144.05,144.9,147.83,2.0,429,333.0382,4.4209029113769525
TSLA,2025-08-14,2025-08-15,195.0,C,139.0,140.1,145.93,1.0,116,333.0382,4.286137454833984
TSLA,2025-08-14,2025-08-15,200.0,C,133.4,134.4,134.6,48.0,1364,333.0382,3.7041023022460937
TSLA,2025-08-14,2025-08-15,205.0,C,128.4,129.6,135.08,10.0,241,333.0382,3.6171884570312502
TSLA,2025-08-14,2025-08-15,210.0,C,124.05,125.1,121.0,3.0,179,333.0382,3.7871099072265633
TSLA,2025-08-14,2025-08-15,215.0,C,118.35,119.45,117.63,1.0,726,333.0382,3.244142514648437
TSLA,2025-08-14,2025-08-15,220.0,C,113.7,114.8,112.2,5.0,1121,333.0382,3.300782998046875
TSLA,2025-08-14,2025-08-15,225.0,C,108.35,109.45,106.83,3.0,523,333.0382,2.952151057128906
TSLA,2025-08-14,2025-08-15,230.0,C,103.45,104.3,104.4,30.0,1389,333.0382,2.7949248876953128
TSLA,2025-08-14,2025-08-15,235.0,C,98.35,99.6,96.51,19.0,502,333.0382,2.712893842773437
TSLA,2025-08-14,2025-08-15,237.5,C,95.9,97.1,94.62,2.0,2,333.0382,2.6562533593750004
TSLA,2025-08-14,2025-08-15,240.0,C,93.5,94.4,92.35,73.0,1667,333.0382,2.560550473632812
TSLA,2025-08-14,2025-08-15,245.0,C,88.4,89.6,87.95,27.0,1650,333.0382,2.4501991870117186
TSLA,2025-08-14,2025-08-15,247.5,C,86.15,87.25,84.48,3.0,2,333.0382,2.474613188476563
TSLA,2025-08-14,2025-08-15,250.0,C,83.65,84.15,84.12,71.0,7903,333.0382,2.2656293359374997
TSLA,2025-08-14,2025-08-15,252.5,C,80.6,82.1,81.68,1.0,2,333.0382,2.1748092504882814
TSLA,2025-08-14,2025-08-15,255.0,C,78.6,79.35,79.2,27.0,1806,333.0382,2.1699264501953124
TSLA,2025-08-14,2025-08-15,257.5,C,76.55,77.5,82.89,2.0,3,333.0382,2.323246379394531
TSLA,2025-08-14,2025-08-15,260.0,C,73.5,74.3,71.05,28.0,1451,333.0382,2.004887800292969
TSLA,2025-08-14,2025-08-15,262.5,C,70.95,72.15,69.7,1.0,2,333.0382,2.0058643603515627
TSLA,2025-08-14,2025-08-15,265.0,C,68.5,69.35,69.37,15.0,1865,333.0382,1.8881841528320313
TSLA,2025-08-14,2025-08-15,267.5,C,65.95,67.05,64.19,2.0,9,333.0382,1.85546947265625
TSLA,2025-08-14,2025-08-15,270.0,C,63.85,64.7,62.0,29.0,1166,333.0382,1.8930669409179686
TSLA,2025-08-14,2025-08-15,272.5,C,61.2,62.6,59.36,5.0,4,333.0382,1.8681647216796877
TSLA,2025-08-14,2025-08-15,275.0,C,58.55,59.3,59.3,329.0,2090,333.0382,1.6347674511718748
TSLA,2025-08-14,2025-08-15,277.5,C,55.95,57.05,63.9,1.0,109,333.0382,1.6005879345703122
TSLA,2025-08-14,2025-08-15,280.0,C,53.6,54.25,52.0,20.0,3394,333.0382,1.509768076171875
TSLA,2025-08-14,2025-08-15,282.5,C,51.2,52.35,50.0,5.0,163,333.0382,1.5629904663085936
TSLA,2025-08-14,2025-08-15,285.0,C,48.8,49.2,49.39,17.0,1203,333.0382,1.4111357568359377
TSLA,2025-08-14,2025-08-15,287.5,C,46.2,46.7,44.22,4.0,562,333.0382,1.3320345898437496
TSLA,2025-08-14,2025-08-15,290.0,C,43.7,44.2,43.5,76.0,5332,333.0382,1.2700231811523435
TSLA,2025-08-14,2025-08-15,292.5,C,41.3,41.75,48.82,10.0,488,333.0382,1.23047259765625
TSLA,2025-08-14,2025-08-15,295.0,C,38.8,39.2,37.19,113.0,1689,333.0382,1.1606487280273439
TSLA,2025-08-14,2025-08-15,297.5,C,36.25,36.75,36.77,35.0,623,333.0382,1.098149040527344
TSLA,2025-08-14,2025-08-15,300.0,C,33.85,34.25,33.97,564.0,12694,333.0382,1.0488328808593752
TSLA,2025-08-14,2025-08-15,302.5,C,31.25,31.8,32.12,17.0,783,333.0382,0.9785158398437501
TSLA,2025-08-14,2025-08-15,305.0,C,28.8,29.25,29.6,125.0,7011,333.0382,0.9150399121093751
TSLA,2025-08-14,2025-08-15,307.5,C,26.35,26.85,25.9,35.0,1192,333.0382,0.8686536572265625
TSLA,2025-08-14,2025-08-15,310.0,C,23.9,24.3,23.8,591.0,7009,333.0382,0.8037129003906249
TSLA,2025-08-14,2025-08-15,312.5,C,21.4,21.9,22.0,69.0,1529,333.0382,0.7485376708984376
TSLA,2025-08-14,2025-08-15,315.0,C,19.0,19.4,19.35,672.0,8181,333.0382,0.6909210595703126
TSLA,2025-08-14,2025-08-15,317.5,C,16.5,16.95,17.1,338.0,2105,333.0382,0.6267127172851563
TSLA,2025-08-14,2025-08-15,320.0,C,14.15,14.4,14.25,3841.0,11002,333.0382,0.5647016186523439
TSLA,2025-08-14,2025-08-15,322.5,C,12.05,12.1,12.05,1765.0,3006,333.0382,0.5363815893554689
TSLA,2025-08-14,2025-08-15,325.0,C,9.75,9.85,9.84,5767.0,10701,333.0382,0.4936574072265626
TSLA,2025-08-14,2025-08-15,327.5,C,7.65,7.75,7.8,3748.0,3779,333.0382,0.4555718505859375
