Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV,Moneyness,LogMoneyness,MidPrice,BidAskSpread,DaysToExpiry,TimeToExpiry
AAPL,2025-08-14,2025-08-15,90.0,C,142.9,143.35,142.25,2.0,4,232.79,5.925783842773438,2.5865555555555555,0.9503270892779507,143.125,0.44999999999998863,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,95.0,C,138.0,139.1,136.88,5.0,7,232.79,6.37500203125,2.450421052631579,0.896259868007675,138.55,1.0999999999999943,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,100.0,C,133.05,133.95,127.65,10.0,7,232.79,5.972658784179687,2.3279,0.8449665736201245,133.5,0.8999999999999773,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,105.0,C,128.15,128.65,128.7,3.0,1,232.79,5.51562810546875,2.217047619047619,0.7961764094506923,128.4,0.5,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,110.0,C,123.0,123.95,123.0,1.0,11,232.79,5.326175217285155,2.1162727272727273,0.7496563938157996,123.475,0.9500000000000028,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,115.0,C,118.05,118.95,110.28,4.0,9,232.79,5.0742224072265625,2.024260869565217,0.7052046312449656,118.5,0.9000000000000057,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,120.0,C,112.9,113.95,110.15,145.0,1,232.79,4.70898848876953,1.9399166666666665,0.6626450168261697,113.42500000000001,1.0499999999999972,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,125.0,C,107.9,109.0,100.63,4.0,5,232.79,4.4804731494140615,1.86232,0.6218230223059147,108.45,1.0999999999999943,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,130.0,C,103.0,103.95,100.4,91.0,1,232.79,4.257817177734374,1.7906923076923076,0.5826023091526333,103.475,0.9500000000000028,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,135.0,C,98.0,98.85,97.11,10.0,8,232.79,3.9609375976562498,1.7243703703703703,0.5448619811697863,98.425,0.8499999999999943,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,140.0,C,93.0,93.95,91.49,1.0,10,232.79,3.7792974267578128,1.6627857142857143,0.5084943369989116,93.475,0.9500000000000028,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,145.0,C,87.9,89.0,86.9,5.0,7,232.79,3.529298051757812,1.605448275862069,0.4734030171876414,88.45,1.0999999999999943,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,150.0,C,82.7,83.3,82.34,11.0,117,232.79,2.7539093652343754,1.5519333333333334,0.4395014655119601,83.0,0.5999999999999943,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,155.0,C,78.05,78.9,79.0,1.0,4,232.79,3.118166267089843,1.5018709677419355,0.4067116426889692,78.475,0.8500000000000085,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,160.0,C,72.45,73.35,72.7,2.0,49,232.79,2.1875045312499997,1.4549375,0.3749629443743889,72.9,0.8999999999999915,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,165.0,C,68.0,69.0,68.7,36.0,59,232.79,2.7255891235351566,1.4108484848484848,0.3441912857076352,68.5,1.0,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,170.0,C,62.45,63.35,63.3,4.0,332,232.79,1.87109439453125,1.3693529411764704,0.31433832255795396,62.900000000000006,0.8999999999999986,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,175.0,C,57.95,58.95,54.79,6.0,27,232.79,2.2968792578125,1.3302285714285713,0.2853507856847017,58.45,1.0,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,177.5,C,55.5,56.5,57.4,1.0,4,232.79,2.2343794140624995,1.311492957746479,0.27116615069274536,56.0,1.0,1,0.0027378507871321013
AAPL,2025-08-14,2025-08-15,180.0,C,53.2,53.4,52.65,28.0,159,232.79,2.003911240234375,1.2932777777777777,0.25717990871800545,53.3,0.19999999999999574,1,0.0027378507871321013
