Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV,Moneyness,LogMoneyness,MidPrice,BidAskSpread,DaysToExpiry,TimeToExpiry
GOOGL,2025-08-14,2025-08-15,75.0,C,127.85,128.3,128.6,15,128,203.245,5.062503671875,2.7099333333333333,0.996924034343016,128.075,0.45000000000001705,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,80.0,C,123.0,123.7,124.82,1,80,203.245,5.101566123046874,2.5405625,0.9323855132054449,123.35,0.7000000000000028,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,85.0,C,117.95,118.3,108.44,2,344,203.245,4.45312943359375,2.391117647058824,0.8717608913890101,118.125,0.3499999999999943,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,90.0,C,112.95,113.25,114.15,150,1285,203.245,3.3750015624999996,2.258277777777778,0.8146024775490615,113.1,0.29999999999999716,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,95.0,C,108.0,108.35,108.68,5,723,203.245,4.2187547265625,2.139421052631579,0.7605352562787857,108.175,0.3499999999999943,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,100.0,C,102.9,103.25,102.55,1,430,203.245,2.93750265625,2.03245,0.7092419618912351,103.075,0.3499999999999943,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,105.0,C,97.95,98.6,98.65,1,705,203.245,3.2343769140624996,1.9356666666666666,0.6604517977218031,98.275,0.6499999999999915,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,110.0,C,92.3,93.25,90.71,1,706,203.245,2.56250359375,1.8476818181818182,0.6139317820869102,92.775,0.9500000000000028,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,115.0,C,87.75,88.25,78.67,1,434,203.245,2.3750040624999995,1.7673478260869566,0.5694800195160765,88.0,0.5,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,120.0,C,82.95,83.4,83.73,27,281,203.245,3.16406458984375,1.6937083333333334,0.5269204050972806,83.17500000000001,0.45000000000000284,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,125.0,C,77.7,78.3,76.5,1,312,203.245,2.593753515625,1.62596,0.4860984105770254,78.0,0.5999999999999943,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,130.0,C,73.0,73.2,73.63,2,8058,203.245,1.0000000000000004e-05,1.563423076923077,0.44687769742374417,73.1,0.20000000000000284,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,135.0,C,67.9,68.2,67.95,2,221,203.245,1.0000000000000004e-05,1.5055185185185185,0.409137369440897,68.05000000000001,0.29999999999999716,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,140.0,C,63.0,63.2,64.17,12,8488,203.245,1.0000000000000004e-05,1.45175,0.3727697252700223,63.1,0.20000000000000284,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,145.0,C,58.0,58.25,58.05,2,863,203.245,1.46875265625,1.4016896551724138,0.3376784054587521,58.125,0.25,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,150.0,C,53.0,53.25,54.1,19,3281,203.245,1.3125034374999998,1.3549666666666667,0.30377685378307073,53.125,0.25,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,155.0,C,48.05,48.25,49.0,8,2604,203.245,1.1875040625,1.3112580645161291,0.27098703096008,48.15,0.20000000000000284,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,160.0,C,43.0,43.15,43.37,54,7001,203.245,1.0000000000000004e-05,1.27028125,0.2392383326454996,43.075,0.14999999999999858,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,162.5,C,40.55,40.95,41.5,20,58,203.245,1.000005,1.2507384615384616,0.22373414610953435,40.75,0.4000000000000057,1,0.0027378507871321013
GOOGL,2025-08-14,2025-08-15,165.0,C,38.0,38.25,37.9,53,6580,203.245,0.937500625,1.2317878787878789,0.20846667397874596,38.125,0.25,1,0.0027378507871321013
