Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV,Moneyness,LogMoneyness,MidPrice,BidAskSpread,DaysToExpiry,TimeToExpiry
QQQ,2025-08-14,2025-08-14,450.0,C,128.17,131.7,129.17,7.0,0,579.96,2.9814478588867184,1.2888000000000002,0.2537115528806277,129.935,3.530000000000001,0,0.0
QQQ,2025-08-14,2025-08-14,455.0,C,123.17,126.7,119.27,1.0,1,579.96,2.8750028125,1.2746373626373628,0.24266171669404274,124.935,3.530000000000001,0,0.0
QQQ,2025-08-14,2025-08-14,491.0,C,87.17,90.7,88.11,1.0,1,579.96,2.122563287353515,1.1811812627291243,0.16651500785047246,88.935,3.530000000000001,0,0.0
QQQ,2025-08-14,2025-08-14,500.0,C,78.17,81.51,79.89,5.0,3,579.96,1.88671931640625,1.15992,0.14835103722280132,79.84,3.3400000000000034,0,0.0
QQQ,2025-08-14,2025-08-14,510.0,C,68.68,70.34,70.84,1.0,2,579.96,1.2783239208984374,1.1371764705882355,0.1285484099266217,69.51,1.6599999999999966,0,0.0
QQQ,2025-08-14,2025-08-14,520.0,C,58.29,61.72,58.92,2.0,21,579.96,0.8281267187499999,1.1153076923076923,0.10913032406952,60.004999999999995,3.4299999999999997,0,0.0
QQQ,2025-08-14,2025-08-14,525.0,C,53.47,55.62,55.18,2.0,4,579.96,1.1435589697265625,1.1046857142857143,0.09956087305336925,54.545,2.1499999999999986,0,0.0
QQQ,2025-08-14,2025-08-14,530.0,C,48.55,50.52,49.71,1.0,4,579.96,1.0205127099609377,1.0942641509433964,0.09008212909882561,49.535,1.970000000000006,0,0.0
QQQ,2025-08-14,2025-08-14,535.0,C,43.46,45.59,46.74,1.0,248,579.96,0.956055126953125,1.0840373831775703,0.08069238874898661,44.525000000000006,2.1300000000000026,0,0.0
QQQ,2025-08-14,2025-08-14,540.0,C,38.56,40.56,40.27,9.0,855,579.96,0.858399853515625,1.074,0.071389996086673,39.56,2.0,0,0.0
QQQ,2025-08-14,2025-08-14,541.0,C,37.67,39.55,22.67,,15,579.96,0.8378922460937499,1.072014787430684,0.06953985679851157,38.61,1.8799999999999955,0,0.0
QQQ,2025-08-14,2025-08-14,542.0,C,36.51,38.55,37.61,17.0,18,579.96,0.8198260205078124,1.0700369003690038,0.0676931342053469,37.53,2.039999999999999,0,0.0
QQQ,2025-08-14,2025-08-14,543.0,C,35.99,37.28,37.01,51.0,6,579.96,0.709963837890625,1.0680662983425415,0.06584981571105765,36.635000000000005,1.2899999999999991,0,0.0
QQQ,2025-08-14,2025-08-14,544.0,C,34.62,36.59,34.18,1.0,1,579.96,0.795900478515625,1.0661029411764706,0.06400988878905044,35.605000000000004,1.970000000000006,0,0.0
QQQ,2025-08-14,2025-08-14,545.0,C,34.49,35.35,34.6,12.0,80,579.96,0.7036162451171876,1.0641467889908258,0.062173340981749065,34.92,0.8599999999999994,0,0.0
QQQ,2025-08-14,2025-08-14,546.0,C,32.51,34.54,26.15,4.0,17,579.96,0.7460962890625,1.0621978021978022,0.060340159900088015,33.525,2.030000000000001,0,0.0
QQQ,2025-08-14,2025-08-14,547.0,C,31.49,33.54,32.66,2.0,5,579.96,0.7280300634765625,1.060255941499086,0.05851033322301186,32.515,2.0500000000000007,0,0.0
QQQ,2025-08-14,2025-08-14,548.0,C,30.5,32.59,24.93,2.0,4,579.96,0.7236355761718749,1.0583211678832118,0.05668384869697764,31.545,2.0900000000000034,0,0.0
QQQ,2025-08-14,2025-08-14,550.0,C,29.49,30.44,31.0,11.0,418,579.96,0.64648791015625,1.0544727272727272,0.05304085741847637,29.965,0.9500000000000028,0,0.0
QQQ,2025-08-14,2025-08-14,551.0,C,27.98,29.39,28.41,1.0,8,579.96,0.614261669921875,1.0525589836660618,0.051224326492078635,28.685000000000002,1.4100000000000001,0,0.0
