Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV,Moneyness,LogMoneyness,MidPrice,BidAskSpread,DaysToExpiry,TimeToExpiry
TSLA,2025-08-14,2025-08-15,100.0,C,234.1,234.8,233.15,22.0,1827,334.3099,6.367189541015625,3.3430990000000005,1.206898221118527,234.45,0.700000000000017,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,105.0,C,229.0,230.15,234.58,37.0,145,334.3099,6.601564248046875,3.1839038095238097,1.158108056949095,229.575,1.1500000000000057,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,110.0,C,224.1,224.9,229.0,10.0,54,334.3099,6.093752382812499,3.039180909090909,1.111588041314202,224.5,0.8000000000000114,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,115.0,C,219.0,220.25,219.3,20.0,92,334.3099,6.242189697265625,2.9070426086956522,1.0671362787433682,219.625,1.25,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,120.0,C,214.25,215.15,221.3,2.0,153,334.3099,6.175783530273437,2.7859158333333336,1.0245766643245724,214.7,0.9000000000000057,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,125.0,C,209.25,210.15,194.15,1.0,29,334.3099,5.945315068359376,2.6744792000000004,0.9837546698043174,209.7,0.9000000000000057,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,130.0,C,203.95,205.25,203.85,8.0,136,334.3099,5.503909370117187,2.5716146153846156,0.9445339566510359,204.6,1.3000000000000114,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,135.0,C,199.25,200.45,206.12,1.0,39,334.3099,5.769534038085938,2.47636962962963,0.9067936286681889,199.85,1.1999999999999886,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,140.0,C,194.25,195.15,205.28,6.0,60,334.3099,5.304690869140623,2.3879278571428575,0.8704259844973141,194.7,0.9000000000000057,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,145.0,C,188.95,190.1,160.42,1.0,54,334.3099,4.726566591796875,2.3055855172413793,0.8353346646860439,189.52499999999998,1.1500000000000057,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,150.0,C,184.0,184.9,183.45,23.0,917,334.3099,4.320317099609374,2.2287326666666667,0.8014331130103626,184.45,0.9000000000000057,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,155.0,C,178.95,179.95,179.9,2.0,65,334.3099,4.1562548046875,2.1568380645161294,0.7686432901873719,179.45,1.0,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,160.0,C,174.1,174.85,180.49,36.0,2223,334.3099,4.074223657226563,2.089436875,0.7368945918727914,174.475,0.75,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,165.0,C,168.95,170.15,176.26,1.0,751,334.3099,4.1015673730468745,2.0261206060606063,0.7061229332060378,169.55,1.200000000000017,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,170.0,C,164.25,165.4,163.8,21.0,457,334.3099,4.380863898925781,1.9665288235294118,0.6762699700563566,164.825,1.1500000000000057,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,175.0,C,159.2,160.4,164.76,3.0,145,334.3099,4.179692275390625,1.9103422857142858,0.6472824331831043,159.8,1.200000000000017,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,180.0,C,154.0,154.9,159.07,1.0,397,334.3099,3.402345244140625,1.8572772222222225,0.619111556216408,154.45,0.9000000000000057,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,185.0,C,149.15,150.15,151.33,2.0,241,334.3099,3.656250859375001,1.8070805405405408,0.5917125820282936,149.65,1.0,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,190.0,C,144.0,145.25,147.83,2.0,429,334.3099,3.470704448242188,1.7595257894736844,0.5650443349461323,144.625,1.25,1,0.0027378507871321013
TSLA,2025-08-14,2025-08-15,195.0,C,139.15,140.2,145.93,1.0,116,334.3099,3.3964858837890626,1.7144097435897436,0.5390688485428715,139.675,1.049999999999983,1,0.0027378507871321013
