Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
AAPL,2025-08-14,2025-08-15,90.0,C,142.9,143.35,142.25,2.0,4,232.79,5.925783842773438
AAPL,2025-08-14,2025-08-15,95.0,C,138.0,139.1,136.88,5.0,7,232.79,6.37500203125
AAPL,2025-08-14,2025-08-15,100.0,C,133.05,133.95,127.65,10.0,7,232.79,5.972658784179687
AAPL,2025-08-14,2025-08-15,105.0,C,128.15,128.65,128.7,3.0,1,232.79,5.51562810546875
AAPL,2025-08-14,2025-08-15,110.0,C,123.0,123.95,123.0,1.0,11,232.79,5.326175217285155
AAPL,2025-08-14,2025-08-15,115.0,C,118.05,118.95,110.28,4.0,9,232.79,5.0742224072265625
AAPL,2025-08-14,2025-08-15,120.0,C,112.9,113.95,110.15,145.0,1,232.79,4.70898848876953
AAPL,2025-08-14,2025-08-15,125.0,C,107.9,109.0,100.63,4.0,5,232.79,4.4804731494140615
AAPL,2025-08-14,2025-08-15,130.0,C,103.0,103.95,100.4,91.0,1,232.79,4.257817177734374
AAPL,2025-08-14,2025-08-15,135.0,C,98.0,98.85,97.11,10.0,8,232.79,3.9609375976562498
AAPL,2025-08-14,2025-08-15,140.0,C,93.0,93.95,91.49,1.0,10,232.79,3.7792974267578128
AAPL,2025-08-14,2025-08-15,145.0,C,87.9,89.0,86.9,5.0,7,232.79,3.529298051757812
AAPL,2025-08-14,2025-08-15,150.0,C,82.7,83.3,82.34,11.0,117,232.79,2.7539093652343754
AAPL,2025-08-14,2025-08-15,155.0,C,78.05,78.9,79.0,1.0,4,232.79,3.118166267089843
AAPL,2025-08-14,2025-08-15,160.0,C,72.45,73.35,72.7,2.0,49,232.79,2.1875045312499997
AAPL,2025-08-14,2025-08-15,165.0,C,68.0,69.0,68.7,36.0,59,232.79,2.7255891235351566
AAPL,2025-08-14,2025-08-15,170.0,C,62.45,63.35,63.3,4.0,332,232.79,1.8710943945312501
AAPL,2025-08-14,2025-08-15,175.0,C,57.95,58.95,54.79,6.0,27,232.79,2.2968792578125
AAPL,2025-08-14,2025-08-15,177.5,C,55.5,56.5,57.4,1.0,4,232.79,2.2343794140624995
AAPL,2025-08-14,2025-08-15,180.0,C,53.2,53.4,52.65,28.0,159,232.79,2.003911240234375
AAPL,2025-08-14,2025-08-15,182.5,C,50.55,51.5,47.25,1.0,1,232.79,2.0595751635742188
AAPL,2025-08-14,2025-08-15,185.0,C,48.05,48.85,46.15,3.0,51,232.79,1.9218753906250001
AAPL,2025-08-14,2025-08-15,187.5,C,44.95,46.5,47.0,13.0,14,232.79,1.68359533203125
AAPL,2025-08-14,2025-08-15,190.0,C,43.1,43.8,42.6,2.0,61,232.79,1.7382825585937498
AAPL,2025-08-14,2025-08-15,192.5,C,40.55,41.05,34.65,3.0,0,232.79,1.5605490722656248
AAPL,2025-08-14,2025-08-15,195.0,C,38.15,38.9,36.95,9.0,114,232.79,1.5947285888671874
AAPL,2025-08-14,2025-08-15,197.5,C,35.65,36.15,34.75,23.0,3154,232.79,1.44140904296875
AAPL,2025-08-14,2025-08-15,200.0,C,33.1,33.35,32.63,1232.0,10690,232.79,1.2578162109375
AAPL,2025-08-14,2025-08-15,202.5,C,30.65,30.85,29.95,26.0,935,232.79,1.1884806201171876
AAPL,2025-08-14,2025-08-15,205.0,C,28.15,28.35,28.29,229.0,12989,232.79,1.1035201074218752
AAPL,2025-08-14,2025-08-15,207.5,C,25.65,25.85,25.05,108.0,4964,232.79,1.01953615234375
AAPL,2025-08-14,2025-08-15,210.0,C,23.2,23.45,23.25,624.0,16923,232.79,0.9687503125
AAPL,2025-08-14,2025-08-15,212.5,C,20.7,20.95,20.73,186.0,6535,232.79,0.8818371191406249
AAPL,2025-08-14,2025-08-15,215.0,C,18.15,18.5,18.35,1521.0,23495,232.79,0.7939473730468749
AAPL,2025-08-14,2025-08-15,217.5,C,15.75,15.9,15.7,575.0,4791,232.79,0.7060576269531251
AAPL,2025-08-14,2025-08-15,220.0,C,13.2,13.4,13.28,2194.0,28297,232.79,0.6084023535156251
AAPL,2025-08-14,2025-08-15,222.5,C,10.8,11.0,10.87,697.0,6996,232.79,0.5463912548828126
AAPL,2025-08-14,2025-08-15,225.0,C,8.1,8.4,8.35,7712.0,30048,232.79,0.450200810546875
AAPL,2025-08-14,2025-08-15,227.5,C,5.9,6.0,5.85,5490.0,12443,232.79,0.3706117626953125
AAPL,2025-08-14,2025-08-15,230.0,C,3.6,3.75,3.75,47916.0,48250,232.79,0.301764794921875
