Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
AMZN,2025-08-14,2025-08-15,85.0,C,146.8,147.0,144.8,2.0,126,231.35,6.703126621093751
AMZN,2025-08-14,2025-08-15,90.0,C,141.65,142.5,131.25,35.0,50,231.35,6.6406266992187515
AMZN,2025-08-14,2025-08-15,95.0,C,136.7,137.5,124.77,2.0,81,231.35,6.326173967285157
AMZN,2025-08-14,2025-08-15,100.0,C,131.1,132.1,123.3,5.0,617,231.35,5.070316162109375
AMZN,2025-08-14,2025-08-15,105.0,C,126.15,127.55,124.65,3.0,50,231.35,5.312503359374999
AMZN,2025-08-14,2025-08-15,110.0,C,121.1,122.45,120.09,1.0,36,231.35,4.902347622070312
AMZN,2025-08-14,2025-08-15,115.0,C,116.15,117.2,109.82,2.0,51,231.35,4.45312943359375
AMZN,2025-08-14,2025-08-15,120.0,C,111.8,112.05,101.3,1.0,706,231.35,4.597660502929687
AMZN,2025-08-14,2025-08-15,125.0,C,106.85,107.15,107.87,10.0,139,231.35,4.433598208007812
AMZN,2025-08-14,2025-08-15,130.0,C,101.8,102.05,101.9,5.0,583,231.35,4.097661127929687
AMZN,2025-08-14,2025-08-15,135.0,C,96.8,97.05,97.62,9.0,146,231.35,3.8593753515625
AMZN,2025-08-14,2025-08-15,140.0,C,91.8,92.05,85.03,1.0,388,231.35,3.630860297851563
AMZN,2025-08-14,2025-08-15,145.0,C,86.45,87.0,87.28,1.0,440,231.35,3.1738301904296877
AMZN,2025-08-14,2025-08-15,150.0,C,81.8,82.05,82.47,49.0,4470,231.35,3.193361391601562
AMZN,2025-08-14,2025-08-15,155.0,C,76.25,77.05,76.05,4.0,347,231.35,2.6757845605468753
AMZN,2025-08-14,2025-08-15,160.0,C,71.8,72.1,70.7,69.0,3694,231.35,2.8027373681640624
AMZN,2025-08-14,2025-08-15,165.0,C,66.8,67.1,64.6,2.0,684,231.35,2.6025425561523434
AMZN,2025-08-14,2025-08-15,170.0,C,61.75,62.0,62.2,18.0,1659,231.35,2.3476603808593746
AMZN,2025-08-14,2025-08-15,175.0,C,56.8,57.05,56.94,676.0,3174,231.35,2.198246691894531
AMZN,2025-08-14,2025-08-15,180.0,C,51.8,52.05,52.84,234.0,16118,231.35,2.0117237207031247
AMZN,2025-08-14,2025-08-15,185.0,C,46.8,47.05,46.93,46.0,1653,231.35,1.8291024169921872
AMZN,2025-08-14,2025-08-15,187.5,C,43.75,45.1,34.46,1.0,1,231.35,1.7382825585937498
AMZN,2025-08-14,2025-08-15,190.0,C,41.75,42.0,42.45,104.0,5385,231.35,1.6181659716796877
AMZN,2025-08-14,2025-08-15,195.0,C,36.85,37.05,37.34,62.0,2043,231.35,1.4834010205078125
AMZN,2025-08-14,2025-08-15,197.5,C,33.7,35.05,32.01,1.0,27,231.35,1.3544954150390622
AMZN,2025-08-14,2025-08-15,200.0,C,31.85,32.05,32.6,339.0,14545,231.35,1.3056675341796873
AMZN,2025-08-14,2025-08-15,202.5,C,29.35,29.55,29.98,113.0,418,231.35,1.2168007910156249
AMZN,2025-08-14,2025-08-15,205.0,C,26.8,27.0,27.39,225.0,3874,231.35,1.1054732226562503
AMZN,2025-08-14,2025-08-15,207.5,C,24.35,24.55,24.45,147.0,659,231.35,1.040043862304688
AMZN,2025-08-14,2025-08-15,210.0,C,21.8,22.0,22.03,630.0,10362,231.35,0.930664755859375
AMZN,2025-08-14,2025-08-15,212.5,C,19.35,19.6,19.55,155.0,2569,231.35,0.8706067626953125
AMZN,2025-08-14,2025-08-15,215.0,C,16.9,17.1,16.97,2477.0,18254,231.35,0.788088056640625
AMZN,2025-08-14,2025-08-15,217.5,C,14.35,14.55,14.45,436.0,4501,231.35,0.6801789794921876
AMZN,2025-08-14,2025-08-15,220.0,C,11.9,12.1,12.01,7145.0,54168,231.35,0.6015664843750002
AMZN,2025-08-14,2025-08-15,222.5,C,9.35,9.55,9.57,4055.0,10388,231.35,0.51758294921875
AMZN,2025-08-14,2025-08-15,225.0,C,7.0,7.2,7.07,33520.0,29003,231.35,0.44824770507812495
AMZN,2025-08-14,2025-08-15,227.5,C,4.65,4.85,4.76,37030.0,23999,231.35,0.3632876171875
AMZN,2025-08-14,2025-08-15,230.0,C,2.62,2.66,2.63,195403.0,45143,231.35,0.2802806347656249
AMZN,2025-08-14,2025-08-15,232.5,C,1.22,1.23,1.24,119067.0,19998,231.35,0.25489026367187506
AMZN,2025-08-14,2025-08-15,235.0,C,0.46,0.47,0.47,88952.0,25990,231.35,0.24829853271484376
AMZN,2025-08-14,2025-08-15,237.5,C,0.16,0.17,0.18,47604.0,9718,231.35,0.256843369140625
AMZN,2025-08-14,2025-08-15,240.0,C,0.08,0.09,0.09,17241.0,70301,231.35,0.29004616210937495
AMZN,2025-08-14,2025-08-15,242.5,C,0.04,0.05,0.05,2430.0,7911,231.35,0.32031929687499994
AMZN,2025-08-14,2025-08-15,245.0,C,0.03,0.04,0.04,2942.0,41116,231.35,0.367193828125
AMZN,2025-08-14,2025-08-15,247.5,C,0.02,0.03,0.03,1167.0,3682,231.35,0.40430283203125
AMZN,2025-08-14,2025-08-15,250.0,C,0.02,0.03,0.02,2736.0,23357,231.35,0.45703667968750006
AMZN,2025-08-14,2025-08-15,252.5,C,0.01,0.02,0.01,539.0,4045,231.35,0.48438015625
AMZN,2025-08-14,2025-08-15,255.0,C,0.01,0.02,0.02,1213.0,15490,231.35,0.51562984375
AMZN,2025-08-14,2025-08-15,260.0,C,0.0,0.01,0.01,198.0,45050,231.35,0.5312546875
AMZN,2025-08-14,2025-08-15,265.0,C,0.0,0.01,0.02,30.0,4627,231.35,0.6250037500000001
AMZN,2025-08-14,2025-08-15,270.0,C,0.0,0.01,0.01,11.0,5986,231.35,0.6875031250000001
AMZN,2025-08-14,2025-08-15,275.0,C,0.0,0.01,0.01,31.0,3400,231.35,0.7812521875
AMZN,2025-08-14,2025-08-15,280.0,C,0.0,0.01,0.01,13.0,3607,231.35,0.8437515624999999
AMZN,2025-08-14,2025-08-15,285.0,C,0.0,0.01,0.01,3.0,3885,231.35,0.9062509375
AMZN,2025-08-14,2025-08-15,290.0,C,0.0,0.01,0.01,4.0,4112,231.35,0.9687503125
AMZN,2025-08-14,2025-08-15,295.0,C,0.0,0.01,0.03,3.0,2636,231.35,1.0625046875000002
AMZN,2025-08-14,2025-08-15,300.0,C,0.0,0.01,0.01,6.0,9960,231.35,1.125004375
AMZN,2025-08-14,2025-08-15,305.0,C,0.0,0.01,0.01,1.0,1555,231.35,1.1875040625
AMZN,2025-08-14,2025-08-15,310.0,C,0.0,0.01,0.01,10.0,864,231.35,1.2500037499999999
AMZN,2025-08-14,2025-08-15,315.0,C,0.0,0.01,0.01,561.0,1317,231.35,1.3125034374999998
AMZN,2025-08-14,2025-08-15,320.0,C,0.0,0.3,0.02,2.0,955,231.35,1.9218753906250001
AMZN,2025-08-14,2025-08-15,325.0,C,0.0,0.02,0.01,5.0,304,231.35,1.5000025
AMZN,2025-08-14,2025-08-15,330.0,C,0.0,0.01,0.01,1.0,229,231.35,1.5000025
AMZN,2025-08-14,2025-08-15,335.0,C,0.0,0.01,0.01,2.0,2333,231.35,1.5625021874999998
AMZN,2025-08-14,2025-08-15,340.0,C,0.0,0.01,0.01,11.0,1394,231.35,1.5937520312499998
AMZN,2025-08-14,2025-08-15,345.0,C,0.0,0.01,0.01,2.0,1805,231.35,1.65625171875
AMZN,2025-08-14,2025-08-15,350.0,C,0.0,0.01,0.01,2.0,3614,231.35,1.6875015625
AMZN,2025-08-14,2025-08-15,85.0,P,0.0,0.01,0.01,6.0,374,231.35,4.12500484375
AMZN,2025-08-14,2025-08-15,90.0,P,0.0,0.01,0.01,10.0,151,231.35,3.8750003125
AMZN,2025-08-14,2025-08-15,95.0,P,0.0,0.01,0.01,2.0,361,231.35,3.6250009375000003
AMZN,2025-08-14,2025-08-15,100.0,P,0.0,0.01,0.01,5.0,724,231.35,3.43750140625
AMZN,2025-08-14,2025-08-15,105.0,P,0.0,0.01,0.01,40.0,1774,231.35,3.2500018749999997
AMZN,2025-08-14,2025-08-15,110.0,P,0.0,0.01,0.01,10.0,2588,231.35,3.06250234375
AMZN,2025-08-14,2025-08-15,115.0,P,0.0,0.01,0.01,156.0,2865,231.35,2.8750028125
AMZN,2025-08-14,2025-08-15,120.0,P,0.0,0.01,0.01,1.0,2134,231.35,2.750003125
AMZN,2025-08-14,2025-08-15,125.0,P,0.0,0.04,0.01,10.0,1276,231.35,2.8750028125
AMZN,2025-08-14,2025-08-15,130.0,P,0.0,0.25,0.01,20.0,4205,231.35,3.28906427734375
AMZN,2025-08-14,2025-08-15,135.0,P,0.0,0.06,0.01,2.0,6324,231.35,2.6406283984375003
AMZN,2025-08-14,2025-08-15,140.0,P,0.0,0.23,0.01,5.0,5323,231.35,2.86719033203125
AMZN,2025-08-14,2025-08-15,145.0,P,0.0,0.04,0.01,5.0,6310,231.35,2.2187544531249994
AMZN,2025-08-14,2025-08-15,150.0,P,0.0,0.01,0.01,3.0,12158,231.35,1.8125009374999999
AMZN,2025-08-14,2025-08-15,155.0,P,0.0,0.01,0.01,3.0,7004,231.35,1.6875015625
AMZN,2025-08-14,2025-08-15,160.0,P,0.0,0.01,0.01,21.0,8155,231.35,1.5625021874999998
AMZN,2025-08-14,2025-08-15,165.0,P,0.0,0.01,0.02,12.0,6183,231.35,1.4375028125
AMZN,2025-08-14,2025-08-15,170.0,P,0.0,0.01,0.01,130.0,11789,231.35,1.3437532812499997
AMZN,2025-08-14,2025-08-15,175.0,P,0.0,0.01,0.03,25.0,7065,231.35,1.21875390625
AMZN,2025-08-14,2025-08-15,180.0,P,0.0,0.01,0.01,92.0,18161,231.35,1.09375453125
AMZN,2025-08-14,2025-08-15,185.0,P,0.0,0.01,0.01,7.0,10075,231.35,0.98437515625
AMZN,2025-08-14,2025-08-15,187.5,P,0.0,0.01,0.01,24.0,1720,231.35,0.937500625
AMZN,2025-08-14,2025-08-15,190.0,P,0.0,0.01,0.01,106.0,9131,231.35,0.87500125
AMZN,2025-08-14,2025-08-15,192.5,P,0.0,0.01,0.01,157.0,625,231.35,0.8281267187499999
AMZN,2025-08-14,2025-08-15,195.0,P,0.0,0.01,0.01,301.0,7841,231.35,0.7812521875
AMZN,2025-08-14,2025-08-15,197.5,P,0.0,0.01,0.01,28.0,980,231.35,0.7187528125
AMZN,2025-08-14,2025-08-15,200.0,P,0.01,0.02,0.01,726.0,16565,231.35,0.7421900781249999
AMZN,2025-08-14,2025-08-15,202.5,P,0.01,0.02,0.01,122.0,3179,231.35,0.6875031250000001
AMZN,2025-08-14,2025-08-15,205.0,P,0.01,0.02,0.01,681.0,10166,231.35,0.6250037500000001
AMZN,2025-08-14,2025-08-15,207.5,P,0.01,0.02,0.02,208.0,3845,231.35,0.570316796875
AMZN,2025-08-14,2025-08-15,210.0,P,0.03,0.04,0.03,2340.0,25478,231.35,0.570316796875
