Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
GOOGL,2025-08-14,2025-08-15,75.0,C,127.85,128.3,128.6,15,128,203.245,5.062503671875
GOOGL,2025-08-14,2025-08-15,80.0,C,123.0,123.7,124.82,1,80,203.245,5.101566123046874
GOOGL,2025-08-14,2025-08-15,85.0,C,117.95,118.3,108.44,2,344,203.245,4.45312943359375
GOOGL,2025-08-14,2025-08-15,90.0,C,112.95,113.25,114.15,150,1285,203.245,3.3750015624999996
GOOGL,2025-08-14,2025-08-15,95.0,C,108.0,108.35,108.68,5,723,203.245,4.2187547265625
GOOGL,2025-08-14,2025-08-15,100.0,C,102.9,103.25,102.55,1,430,203.245,2.93750265625
GOOGL,2025-08-14,2025-08-15,105.0,C,97.95,98.6,98.65,1,705,203.245,3.2343769140624996
GOOGL,2025-08-14,2025-08-15,110.0,C,92.3,93.25,90.71,1,706,203.245,2.56250359375
GOOGL,2025-08-14,2025-08-15,115.0,C,87.75,88.25,78.67,1,434,203.245,2.3750040624999995
GOOGL,2025-08-14,2025-08-15,120.0,C,82.95,83.4,83.73,27,281,203.245,3.16406458984375
GOOGL,2025-08-14,2025-08-15,125.0,C,77.7,78.3,76.5,1,312,203.245,2.593753515625
GOOGL,2025-08-14,2025-08-15,130.0,C,73.0,73.2,73.63,2,8058,203.245,1.0000000000000003e-05
GOOGL,2025-08-14,2025-08-15,135.0,C,67.9,68.2,67.95,2,221,203.245,1.0000000000000003e-05
GOOGL,2025-08-14,2025-08-15,140.0,C,63.0,63.2,64.17,12,8488,203.245,1.0000000000000003e-05
GOOGL,2025-08-14,2025-08-15,145.0,C,58.0,58.25,58.05,2,863,203.245,1.46875265625
GOOGL,2025-08-14,2025-08-15,150.0,C,53.0,53.25,54.1,19,3281,203.245,1.3125034374999998
GOOGL,2025-08-14,2025-08-15,155.0,C,48.05,48.25,49.0,8,2604,203.245,1.1875040625
GOOGL,2025-08-14,2025-08-15,160.0,C,43.0,43.15,43.37,54,7001,203.245,1.0000000000000003e-05
GOOGL,2025-08-14,2025-08-15,162.5,C,40.55,40.95,41.5,20,58,203.245,1.000005
GOOGL,2025-08-14,2025-08-15,165.0,C,38.0,38.25,37.9,53,6580,203.245,0.937500625
GOOGL,2025-08-14,2025-08-15,167.5,C,35.55,35.95,35.85,3,10,203.245,0.87500125
GOOGL,2025-08-14,2025-08-15,170.0,C,33.0,33.45,33.27,90,17491,203.245,1.2832067089843748
GOOGL,2025-08-14,2025-08-15,172.5,C,30.55,30.95,30.6,4,75,203.245,0.7500025
GOOGL,2025-08-14,2025-08-15,175.0,C,28.05,28.25,28.11,237,9815,203.245,0.6875031250000001
GOOGL,2025-08-14,2025-08-15,177.5,C,25.35,25.75,25.7,16,174,203.245,0.6250037500000001
GOOGL,2025-08-14,2025-08-15,180.0,C,23.05,23.25,23.4,191,11836,203.245,0.5625043750000001
GOOGL,2025-08-14,2025-08-15,182.5,C,20.55,20.8,21.87,25,582,203.245,0.6777375976562501
GOOGL,2025-08-14,2025-08-15,185.0,C,18.1,18.3,18.17,299,9445,203.245,0.6015664843750002
GOOGL,2025-08-14,2025-08-15,187.5,C,15.65,15.85,15.8,47,1117,203.245,0.585941640625
GOOGL,2025-08-14,2025-08-15,190.0,C,13.1,13.35,13.28,628,18735,203.245,0.50586431640625
GOOGL,2025-08-14,2025-08-15,192.5,C,10.65,10.85,10.8,161,3244,203.245,0.42383388671875
GOOGL,2025-08-14,2025-08-15,195.0,C,8.2,8.4,8.45,736,13305,203.245,0.370123486328125
GOOGL,2025-08-14,2025-08-15,197.5,C,5.85,6.05,6.0,655,3312,203.245,0.334967587890625
GOOGL,2025-08-14,2025-08-15,200.0,C,3.7,3.75,3.9,3994,31926,203.245,0.2758861474609374
GOOGL,2025-08-14,2025-08-15,202.5,C,1.99,2.02,1.99,10028,9576,203.245,0.270515107421875
GOOGL,2025-08-14,2025-08-15,205.0,C,0.86,0.89,0.86,29799,32189,203.245,0.26856200195312496
GOOGL,2025-08-14,2025-08-15,207.5,C,0.34,0.36,0.34,5409,23127,203.245,0.28125718749999995
GOOGL,2025-08-14,2025-08-15,210.0,C,0.16,0.17,0.16,6197,23419,203.245,0.31250687499999996
GOOGL,2025-08-14,2025-08-15,212.5,C,0.09,0.1,0.1,1491,11494,203.245,0.35352208984374994
GOOGL,2025-08-14,2025-08-15,215.0,C,0.05,0.06,0.06,2850,13926,203.245,0.39063109375
GOOGL,2025-08-14,2025-08-15,217.5,C,0.03,0.04,0.04,1924,1682,203.245,0.42969320312500003
GOOGL,2025-08-14,2025-08-15,220.0,C,0.02,0.03,0.02,573,27656,203.245,0.4726615234375
GOOGL,2025-08-14,2025-08-15,222.5,C,0.01,0.02,0.01,1544,2651,203.245,0.5039112109375
GOOGL,2025-08-14,2025-08-15,225.0,C,0.0,0.01,0.01,20,8103,203.245,0.51562984375
GOOGL,2025-08-14,2025-08-15,230.0,C,0.0,0.01,0.01,6,12152,203.245,0.57812921875
