Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
MSFT,2025-08-14,2025-08-15,180.0,C,340.1,342.8,344.55,2.0,3,521.7,6.9667981665039065
MSFT,2025-08-14,2025-08-15,185.0,C,253.7,256.4,186.0,,10,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,195.0,C,281.7,285.5,263.8,,1,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,200.0,C,320.75,322.3,330.25,2.0,30,521.7,5.792971508789062
MSFT,2025-08-14,2025-08-15,210.0,C,310.0,312.85,316.95,1.0,4,521.7,6.064455544433593
MSFT,2025-08-14,2025-08-15,220.0,C,300.0,302.85,310.0,6.0,2,521.7,5.779299650878906
MSFT,2025-08-14,2025-08-15,225.0,C,251.8,255.75,228.0,1.0,3,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,230.0,C,290.8,292.35,294.58,2.0,35,521.7,5.060550549316406
MSFT,2025-08-14,2025-08-15,235.0,C,285.0,287.35,278.23,21.0,31,521.7,4.937503828124999
MSFT,2025-08-14,2025-08-15,245.0,C,148.5,152.2,175.6,,29,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,250.0,C,270.05,272.85,277.18,1.0,83,521.7,4.994144382324218
MSFT,2025-08-14,2025-08-15,255.0,C,265.05,267.7,273.3,1.0,32,521.7,4.767582165527343
MSFT,2025-08-14,2025-08-15,260.0,C,260.05,262.4,259.7,1.0,47,521.7,4.408207614746093
MSFT,2025-08-14,2025-08-15,265.0,C,255.9,257.85,265.54,5.0,22,521.7,3.605469736328125
MSFT,2025-08-14,2025-08-15,270.0,C,250.1,252.4,252.95,1.0,27,521.7,4.191411010742188
MSFT,2025-08-14,2025-08-15,275.0,C,245.05,247.4,246.35,3.0,75,521.7,4.085942392578126
MSFT,2025-08-14,2025-08-15,280.0,C,239.75,242.4,250.61,5.0,48,521.7,3.9814453588867185
MSFT,2025-08-14,2025-08-15,285.0,C,235.05,237.6,239.38,1.0,81,521.7,4.029301838378906
MSFT,2025-08-14,2025-08-15,290.0,C,222.7,226.5,203.6,2.0,21,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,295.0,C,226.0,227.4,244.67,4.0,21,521.7,0.500005
MSFT,2025-08-14,2025-08-15,300.0,C,220.05,222.4,223.83,1.0,69,521.7,3.5820322949218752
MSFT,2025-08-14,2025-08-15,305.0,C,214.95,217.4,230.75,1.0,13,521.7,3.486329409179688
MSFT,2025-08-14,2025-08-15,310.0,C,210.05,212.4,216.38,54.0,82,521.7,3.3925796435546873
MSFT,2025-08-14,2025-08-15,315.0,C,205.05,207.85,215.0,1.0,35,521.7,3.57031357421875
MSFT,2025-08-14,2025-08-15,320.0,C,200.05,202.4,202.91,2.0,80,521.7,3.2080097924804685
MSFT,2025-08-14,2025-08-15,325.0,C,195.1,197.4,199.15,1.0,83,521.7,3.1171897070312498
MSFT,2025-08-14,2025-08-15,330.0,C,190.1,192.4,194.41,1.0,100,521.7,3.0283227416992187
MSFT,2025-08-14,2025-08-15,335.0,C,186.0,187.4,191.61,1.0,117,521.7,0.500005
MSFT,2025-08-14,2025-08-15,340.0,C,180.15,182.4,185.4,3.0,82,521.7,2.853518491210937
MSFT,2025-08-14,2025-08-15,345.0,C,167.7,171.65,154.75,1.0,45,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,350.0,C,170.85,172.45,175.01,2868.0,3056,521.7,2.712893842773437
MSFT,2025-08-14,2025-08-15,355.0,C,165.5,167.4,168.97,1.0,198,521.7,2.599612875976563
MSFT,2025-08-14,2025-08-15,360.0,C,160.9,162.05,161.82,2790.0,3866,521.7,2.2724652563476564
MSFT,2025-08-14,2025-08-15,365.0,C,155.55,157.4,159.21,2.0,207,521.7,2.4355507861328123
MSFT,2025-08-14,2025-08-15,370.0,C,150.95,152.4,153.84,1.0,637,521.7,2.3544963012695304
MSFT,2025-08-14,2025-08-15,375.0,C,145.55,147.4,147.62,4.0,406,521.7,2.274418376464843
MSFT,2025-08-14,2025-08-15,380.0,C,140.35,142.4,143.7,3.0,804,521.7,2.1953170117187497
MSFT,2025-08-14,2025-08-15,385.0,C,135.6,137.45,139.07,2.0,391,521.7,2.1416062084960936
MSFT,2025-08-14,2025-08-15,390.0,C,130.95,132.45,133.1,2.0,606,521.7,0.500005
MSFT,2025-08-14,2025-08-15,395.0,C,125.55,127.45,128.42,18.0,418,521.7,1.9853516357421874
MSFT,2025-08-14,2025-08-15,400.0,C,120.65,121.55,120.89,30.0,11844,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,405.0,C,115.55,117.45,116.73,4.0,502,521.7,1.8320320898437497
MSFT,2025-08-14,2025-08-15,410.0,C,111.0,111.3,111.53,15.0,1458,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,415.0,C,105.6,106.3,106.25,50.0,1334,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,420.0,C,100.35,101.9,101.11,40.0,1292,521.7,1.3105503222656247
MSFT,2025-08-14,2025-08-15,425.0,C,95.6,97.7,95.55,14.0,2283,521.7,1.6176776928710939
MSFT,2025-08-14,2025-08-15,430.0,C,90.75,91.65,90.75,29.0,4511,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,435.0,C,85.75,86.8,86.24,11.0,1342,521.7,1.0253954980468751
MSFT,2025-08-14,2025-08-15,440.0,C,80.85,81.4,81.3,11.0,13430,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,445.0,C,75.75,76.65,76.34,49.0,1315,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,450.0,C,70.5,71.5,71.85,35.0,12469,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,455.0,C,65.85,66.6,67.6,16.0,1617,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,457.5,C,63.1,64.6,63.66,8.0,8,521.7,0.9443364941406249
MSFT,2025-08-14,2025-08-15,460.0,C,60.85,61.3,60.64,25.0,2664,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,462.5,C,58.4,59.9,61.75,1.0,3,521.7,0.9750979052734375
MSFT,2025-08-14,2025-08-15,465.0,C,55.85,56.85,55.92,49.0,1742,521.7,0.7246121289062499
MSFT,2025-08-14,2025-08-15,467.5,C,53.05,54.95,54.11,2.0,0,521.7,0.9169930175781251
MSFT,2025-08-14,2025-08-15,470.0,C,50.6,52.2,50.78,173.0,3189,521.7,0.8125018749999999
MSFT,2025-08-14,2025-08-15,472.5,C,48.2,49.45,50.85,1.0,2,521.7,0.6884796777343751
MSFT,2025-08-14,2025-08-15,475.0,C,45.85,46.4,46.45,97.0,6144,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,477.5,C,43.2,45.15,44.25,19.0,24,521.7,0.8149432568359375
MSFT,2025-08-14,2025-08-15,480.0,C,40.85,41.8,41.25,76.0,4355,521.7,0.516606396484375
MSFT,2025-08-14,2025-08-15,482.5,C,37.45,40.1,42.25,17.0,21,521.7,0.7302273071289063
MSFT,2025-08-14,2025-08-15,485.0,C,35.85,36.45,35.8,27.0,2023,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,487.5,C,33.1,34.35,35.63,5.0,221,521.7,0.459966337890625
MSFT,2025-08-14,2025-08-15,490.0,C,30.85,31.35,31.44,32.0,5449,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,492.5,C,28.35,28.85,32.35,38.0,129,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,495.0,C,25.7,26.35,27.63,21.0,2492,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,497.5,C,22.5,24.35,25.94,1.0,144,521.7,0.3413151806640625
MSFT,2025-08-14,2025-08-15,500.0,C,21.0,21.5,21.08,269.0,7489,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,502.5,C,18.3,19.05,20.49,28.0,248,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,505.0,C,15.9,16.5,16.85,49.0,7827,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,507.5,C,13.4,13.95,15.37,11.0,242,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,510.0,C,11.1,11.55,10.71,295.0,9901,521.7,1.0000000000000003e-05
MSFT,2025-08-14,2025-08-15,512.5,C,8.75,9.4,9.2,50.0,1140,521.7,0.16407085937500002
MSFT,2025-08-14,2025-08-15,515.0,C,6.5,6.7,6.7,539.0,6529,521.7,0.0312596875
MSFT,2025-08-14,2025-08-15,517.5,C,4.45,4.65,4.85,293.0,1215,521.7,0.11939357177734375
MSFT,2025-08-14,2025-08-15,520.0,C,2.8,2.86,2.85,5618.0,6490,521.7,0.12281150634765625
MSFT,2025-08-14,2025-08-15,522.5,C,1.59,1.63,1.62,8526.0,3116,521.7,0.13001358276367186
MSFT,2025-08-14,2025-08-15,525.0,C,0.79,0.82,0.81,23904.0,15419,521.7,0.13355358642578125
MSFT,2025-08-14,2025-08-15,527.5,C,0.38,0.39,0.38,9932.0,4860,521.7,0.13916876464843753
MSFT,2025-08-14,2025-08-15,530.0,C,0.18,0.19,0.18,29045.0,20227,521.7,0.147469462890625
MSFT,2025-08-14,2025-08-15,532.5,C,0.09,0.1,0.1,5442.0,6024,521.7,0.15821154296875
MSFT,2025-08-14,2025-08-15,535.0,C,0.05,0.06,0.07,4780.0,6948,521.7,0.17188328125000002
MSFT,2025-08-14,2025-08-15,537.5,C,0.03,0.04,0.04,2221.0,4765,521.7,0.186531572265625
MSFT,2025-08-14,2025-08-15,540.0,C,0.03,0.04,0.03,4092.0,12969,521.7,0.21094539062499998
MSFT,2025-08-14,2025-08-15,542.5,C,0.03,0.04,0.04,549.0,3777,521.7,0.23535920898437498
MSFT,2025-08-14,2025-08-15,545.0,C,0.02,0.03,0.02,2267.0,10995,521.7,0.2500075
MSFT,2025-08-14,2025-08-15,547.5,C,0.02,0.03,0.03,69.0,1663,521.7,0.273444765625
MSFT,2025-08-14,2025-08-15,550.0,C,0.01,0.02,0.01,6040.0,10204,521.7,0.28125718749999995
MSFT,2025-08-14,2025-08-15,552.5,C,0.01,0.02,0.04,119.0,1687,521.7,0.30274134765625
MSFT,2025-08-14,2025-08-15,555.0,C,0.01,0.02,0.02,105.0,3262,521.7,0.3242255078124999
MSFT,2025-08-14,2025-08-15,557.5,C,0.0,0.02,0.01,90.0,312,521.7,0.3437565625
MSFT,2025-08-14,2025-08-15,560.0,C,0.01,0.02,0.02,89.0,5603,521.7,0.3632876171875
MSFT,2025-08-14,2025-08-15,562.5,C,0.0,0.01,0.02,4.0,924,521.7,0.35938140625
MSFT,2025-08-14,2025-08-15,565.0,C,0.0,0.01,0.01,39.0,2024,521.7,0.3789124609375
MSFT,2025-08-14,2025-08-15,567.5,C,0.0,0.02,0.01,6.0,569,521.7,0.42578699218750005
MSFT,2025-08-14,2025-08-15,570.0,C,0.0,0.01,0.01,18.0,3231,521.7,0.414068359375
MSFT,2025-08-14,2025-08-15,572.5,C,0.0,0.02,0.02,10.0,185,521.7,0.46484910156250003
MSFT,2025-08-14,2025-08-15,575.0,C,0.0,0.02,0.02,1.0,1462,521.7,0.48438015625
MSFT,2025-08-14,2025-08-15,577.5,C,0.0,0.02,0.03,46.0,255,521.7,0.5039112109375
MSFT,2025-08-14,2025-08-15,580.0,C,0.0,0.02,0.01,53.0,2524,521.7,0.523442265625
MSFT,2025-08-14,2025-08-15,582.5,C,0.0,0.01,0.01,1.0,41,521.7,0.507817421875
MSFT,2025-08-14,2025-08-15,585.0,C,0.0,0.01,0.01,1.0,623,521.7,0.500005
MSFT,2025-08-14,2025-08-15,587.5,C,0.0,0.01,0.03,22.0,46,521.7,0.51562984375
MSFT,2025-08-14,2025-08-15,590.0,C,0.0,0.01,0.01,10.0,901,521.7,0.5312546875
MSFT,2025-08-14,2025-08-15,592.5,C,0.0,0.01,0.01,1.0,109,521.7,0.5468795312500001
MSFT,2025-08-14,2025-08-15,595.0,C,0.0,0.01,0.01,4.0,201,521.7,0.5625043750000001
MSFT,2025-08-14,2025-08-15,597.5,C,0.0,0.5,0.03,33.0,97,521.7,0.8818371191406249
MSFT,2025-08-14,2025-08-15,600.0,C,0.0,0.01,0.02,20.0,1844,521.7,0.5937540625000001
MSFT,2025-08-14,2025-08-15,602.5,C,0.0,0.01,0.02,93.0,204,521.7,0.6093789062500001
MSFT,2025-08-14,2025-08-15,605.0,C,0.0,0.03,0.02,2.0,417,521.7,0.6875031250000001
MSFT,2025-08-14,2025-08-15,607.5,C,0.0,0.01,0.02,132.0,223,521.7,0.64062859375
MSFT,2025-08-14,2025-08-15,610.0,C,0.0,0.01,0.02,70.0,418,521.7,0.6562534375000001
MSFT,2025-08-14,2025-08-15,612.5,C,0.0,0.6,0.02,24.0,23,521.7,1.0429735351562504
MSFT,2025-08-14,2025-08-15,615.0,C,0.0,0.01,0.02,153.0,329,521.7,0.6875031250000001
MSFT,2025-08-14,2025-08-15,620.0,C,0.0,0.01,0.02,201.0,385,521.7,0.7187528125
MSFT,2025-08-14,2025-08-15,625.0,C,0.0,0.2,0.02,114.0,211,521.7,0.99804689453125
MSFT,2025-08-14,2025-08-15,630.0,C,0.0,0.01,0.01,30.0,87,521.7,0.7812521875
MSFT,2025-08-14,2025-08-15,635.0,C,0.0,0.01,0.01,33.0,199,521.7,0.8125018749999999
