Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
NVDA,2025-08-14,2025-08-15,5.0,C,176.1,177.5,176.11,2.0,2524,181.92,26.843751611328127
NVDA,2025-08-14,2025-08-15,10.0,C,169.85,173.55,170.9,30.0,186,181.92,25.710939465332032
NVDA,2025-08-14,2025-08-15,15.0,C,164.9,168.65,166.05,10.0,208,181.92,21.71094071533203
NVDA,2025-08-14,2025-08-15,20.0,C,159.7,163.8,159.9,35.0,32,181.92,19.261722730712894
NVDA,2025-08-14,2025-08-15,25.0,C,156.0,157.6,156.83,17.0,243,181.92,14.023438735351563
NVDA,2025-08-14,2025-08-15,30.0,C,150.95,152.6,152.6,13.0,41,181.92,12.703127060546876
NVDA,2025-08-14,2025-08-15,35.0,C,145.95,147.95,146.6,10.0,35,181.92,7.687500390625001
NVDA,2025-08-14,2025-08-15,40.0,C,140.5,143.5,142.88,6.0,92,181.92,7.937500078125
NVDA,2025-08-14,2025-08-15,45.0,C,136.1,137.4,136.64,33.0,86,181.92,9.328129169921876
NVDA,2025-08-14,2025-08-15,50.0,C,131.4,132.3,131.85,22.0,554,181.92,8.34375478515625
NVDA,2025-08-14,2025-08-15,55.0,C,126.15,127.4,127.05,17.0,422,181.92,8.039067475585936
NVDA,2025-08-14,2025-08-15,60.0,C,121.4,122.35,122.12,10.0,537,181.92,7.359375800781249
NVDA,2025-08-14,2025-08-15,65.0,C,114.85,118.4,117.23,3.0,448,181.92,8.582035886230468
NVDA,2025-08-14,2025-08-15,70.0,C,111.1,112.65,111.5,21.0,3889,181.92,6.992188759765625
NVDA,2025-08-14,2025-08-15,75.0,C,105.35,108.85,106.35,3.0,1207,181.92,5.257815927734374
NVDA,2025-08-14,2025-08-15,80.0,C,101.0,102.8,102.03,23.0,2160,181.92,6.312502109375
NVDA,2025-08-14,2025-08-15,85.0,C,96.45,98.35,97.07,21.0,1307,181.92,5.292972133789062
NVDA,2025-08-14,2025-08-15,90.0,C,90.7,93.2,92.0,36.0,1549,181.92,3.406251484375
NVDA,2025-08-14,2025-08-15,95.0,C,86.0,87.8,86.78,24.0,3927,181.92,5.126956716308594
NVDA,2025-08-14,2025-08-15,100.0,C,81.7,82.25,82.0,210.0,9004,181.92,3.1406271484375
NVDA,2025-08-14,2025-08-15,105.0,C,76.65,77.35,76.6,250.0,4594,181.92,3.0468773828125
NVDA,2025-08-14,2025-08-15,110.0,C,71.7,72.3,71.99,495.0,21942,181.92,2.81250296875
NVDA,2025-08-14,2025-08-15,115.0,C,66.5,67.2,66.35,85.0,28094,181.92,3.0898460253906244
NVDA,2025-08-14,2025-08-15,120.0,C,61.55,62.15,62.0,424.0,42269,181.92,2.750003125
NVDA,2025-08-14,2025-08-15,125.0,C,56.65,57.2,57.03,405.0,19252,181.92,0.500005
NVDA,2025-08-14,2025-08-15,130.0,C,51.85,52.0,51.9,579.0,18913,181.92,0.500005
NVDA,2025-08-14,2025-08-15,131.0,C,50.15,51.2,50.23,5.0,51,181.92,2.3085979785156248
NVDA,2025-08-14,2025-08-15,132.0,C,49.7,51.2,49.7,25.0,87,181.92,2.541019272460937
