Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
QQQ,2025-08-14,2025-08-14,450.0,C,128.17,131.7,129.17,7.0,0,579.96,2.9814478588867184
QQQ,2025-08-14,2025-08-14,455.0,C,123.17,126.7,119.27,1.0,1,579.96,2.8750028125
QQQ,2025-08-14,2025-08-14,491.0,C,87.17,90.7,88.11,1.0,1,579.96,2.122563287353515
QQQ,2025-08-14,2025-08-14,500.0,C,78.17,81.51,79.89,5.0,3,579.96,1.88671931640625
QQQ,2025-08-14,2025-08-14,510.0,C,68.68,70.34,70.84,1.0,2,579.96,1.2783239208984374
QQQ,2025-08-14,2025-08-14,520.0,C,58.29,61.72,58.92,2.0,21,579.96,0.8281267187499999
QQQ,2025-08-14,2025-08-14,525.0,C,53.47,55.62,55.18,2.0,4,579.96,1.1435589697265625
QQQ,2025-08-14,2025-08-14,530.0,C,48.55,50.52,49.71,1.0,4,579.96,1.0205127099609377
QQQ,2025-08-14,2025-08-14,535.0,C,43.46,45.59,46.74,1.0,248,579.96,0.956055126953125
QQQ,2025-08-14,2025-08-14,540.0,C,38.56,40.56,40.27,9.0,855,579.96,0.858399853515625
QQQ,2025-08-14,2025-08-14,541.0,C,37.67,39.55,22.67,,15,579.96,0.8378922460937499
QQQ,2025-08-14,2025-08-14,542.0,C,36.51,38.55,37.61,17.0,18,579.96,0.8198260205078124
QQQ,2025-08-14,2025-08-14,543.0,C,35.99,37.28,37.01,51.0,6,579.96,0.709963837890625
QQQ,2025-08-14,2025-08-14,544.0,C,34.62,36.59,34.18,1.0,1,579.96,0.795900478515625
QQQ,2025-08-14,2025-08-14,545.0,C,34.49,35.35,34.6,12.0,80,579.96,0.7036162451171876
QQQ,2025-08-14,2025-08-14,546.0,C,32.51,34.54,26.15,4.0,17,579.96,0.7460962890625
QQQ,2025-08-14,2025-08-14,547.0,C,31.49,33.54,32.66,2.0,5,579.96,0.7280300634765625
QQQ,2025-08-14,2025-08-14,548.0,C,30.5,32.59,24.93,2.0,4,579.96,0.7236355761718749
QQQ,2025-08-14,2025-08-14,550.0,C,29.49,30.44,31.0,11.0,418,579.96,0.64648791015625
QQQ,2025-08-14,2025-08-14,551.0,C,27.98,29.39,28.41,1.0,8,579.96,0.614261669921875
QQQ,2025-08-14,2025-08-14,552.0,C,27.2,28.43,28.96,1.0,13,579.96,0.6084023535156251
QQQ,2025-08-14,2025-08-14,553.0,C,26.25,27.39,26.7,1.0,142,579.96,0.5795940478515625
QQQ,2025-08-14,2025-08-14,554.0,C,25.49,26.29,24.98,256.0,296,579.96,0.532231240234375
QQQ,2025-08-14,2025-08-14,555.0,C,24.65,25.18,24.73,72.0,301,579.96,0.47559118164062497
QQQ,2025-08-14,2025-08-14,556.0,C,23.65,24.05,24.28,38.0,54,579.96,0.39551385742187506
QQQ,2025-08-14,2025-08-14,557.0,C,22.7,23.1,23.61,37.0,247,579.96,0.40918559570312496
QQQ,2025-08-14,2025-08-14,558.0,C,21.65,22.05,21.78,15.0,94,579.96,0.367193828125
