Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
SPY,2025-08-14,2025-08-14,540.0,C,103.44,105.69,103.24,1.0,5,644.99,1.8251961865234374
SPY,2025-08-14,2025-08-14,545.0,C,98.46,100.69,98.3,1.0,1,644.99,1.7451184619140623
SPY,2025-08-14,2025-08-14,560.0,C,83.43,85.71,84.01,2.0,3,644.99,1.5146508642578125
SPY,2025-08-14,2025-08-14,565.0,C,78.41,80.68,68.88,,11,644.99,1.423831005859375
SPY,2025-08-14,2025-08-14,580.0,C,64.47,64.79,64.07,19.0,54,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,585.0,C,58.67,60.69,59.63,4.0,3,644.99,1.1123091259765625
SPY,2025-08-14,2025-08-14,590.0,C,54.46,54.67,54.53,14.0,7,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,595.0,C,49.43,49.74,49.13,1.0,11,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,600.0,C,44.47,44.8,44.5,29.0,24,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,605.0,C,39.55,39.65,39.59,24.0,62,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,608.0,C,36.57,36.66,35.89,4.0,14,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,609.0,C,35.47,35.8,35.53,17.0,6,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,610.0,C,34.43,34.81,34.59,11.0,29,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,611.0,C,33.47,33.8,32.86,1.0,54,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,612.0,C,32.43,32.8,33.35,7.0,5,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,613.0,C,31.46,31.8,31.48,9.0,25,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,614.0,C,30.54,30.66,30.31,56.0,82,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,615.0,C,29.54,29.81,29.65,48.0,247,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,616.0,C,28.42,28.8,27.14,5.0,124,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,617.0,C,27.6,27.71,26.15,45.0,72,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,618.0,C,26.47,26.8,26.79,29.0,45,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,619.0,C,25.44,25.58,23.9,3.0,108,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,620.0,C,24.55,24.8,24.12,26.0,169,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,621.0,C,23.53,23.8,23.59,51.0,113,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,622.0,C,22.55,22.8,21.9,6.0,327,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,623.0,C,21.54,21.66,21.04,27.0,96,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,624.0,C,20.59,20.65,20.29,42.0,108,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,625.0,C,19.55,19.75,19.52,18.0,173,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,626.0,C,18.55,18.63,18.62,136.0,181,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,627.0,C,17.56,17.8,17.62,87.0,201,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,628.0,C,16.55,16.8,16.85,131.0,446,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,629.0,C,15.53,15.8,15.7,36.0,406,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,630.0,C,14.66,14.65,14.74,393.0,1248,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,631.0,C,13.47,13.7,13.25,135.0,385,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,632.0,C,12.55,12.8,12.69,103.0,466,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,633.0,C,11.55,11.7,11.61,288.0,516,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,634.0,C,10.47,10.64,10.49,730.0,1253,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,635.0,C,9.55,9.75,9.82,957.0,1122,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,636.0,C,8.58,8.63,8.68,565.0,1626,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,637.0,C,7.63,7.7,7.7,2854.0,1778,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,638.0,C,6.55,6.62,6.67,1721.0,1172,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,639.0,C,5.66,5.72,5.75,2986.0,2506,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,640.0,C,4.52,4.57,4.69,13171.0,3877,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,641.0,C,3.52,3.58,3.73,10511.0,3883,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,642.0,C,2.58,2.66,2.73,40450.0,3941,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,643.0,C,1.62,1.64,1.64,167931.0,14515,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,644.0,C,0.85,0.86,0.86,458416.0,18792,644.99,1.0000000000000003e-05
SPY,2025-08-14,2025-08-14,645.0,C,0.24,0.25,0.25,606854.0,14469,644.99,0.018564501953125003
SPY,2025-08-14,2025-08-14,646.0,C,0.04,0.05,0.05,331035.0,14448,644.99,0.02515623291015625
SPY,2025-08-14,2025-08-14,647.0,C,0.01,0.02,0.01,165323.0,9794,644.99,0.034189345703125
SPY,2025-08-14,2025-08-14,648.0,C,0.01,0.02,0.01,75013.0,21415,644.99,0.047861083984375
SPY,2025-08-14,2025-08-14,649.0,C,0.01,0.02,0.02,21005.0,8181,644.99,0.060556269531250005
SPY,2025-08-14,2025-08-14,650.0,C,0.01,0.02,0.01,17573.0,13438,644.99,0.073251455078125
SPY,2025-08-14,2025-08-14,651.0,C,0.0,0.01,0.01,7339.0,4137,644.99,0.07813421875000001
SPY,2025-08-14,2025-08-14,652.0,C,0.0,0.01,0.01,4827.0,2924,644.99,0.08789974609375001
SPY,2025-08-14,2025-08-14,653.0,C,0.0,0.01,0.01,8027.0,2998,644.99,0.09961837890625
