Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV
TSLA,2025-08-14,2025-08-15,100.0,C,234.1,234.8,233.15,22.0,1827,334.3099,6.367189541015625
TSLA,2025-08-14,2025-08-15,105.0,C,229.0,230.15,234.58,37.0,145,334.3099,6.601564248046875
TSLA,2025-08-14,2025-08-15,110.0,C,224.1,224.9,229.0,10.0,54,334.3099,6.093752382812499
TSLA,2025-08-14,2025-08-15,115.0,C,219.0,220.25,219.3,20.0,92,334.3099,6.242189697265625
TSLA,2025-08-14,2025-08-15,120.0,C,214.25,215.15,221.3,2.0,153,334.3099,6.175783530273437
TSLA,2025-08-14,2025-08-15,125.0,C,209.25,210.15,194.15,1.0,29,334.3099,5.945315068359376
TSLA,2025-08-14,2025-08-15,130.0,C,203.95,205.25,203.85,8.0,136,334.3099,5.503909370117187
TSLA,2025-08-14,2025-08-15,135.0,C,199.25,200.45,206.12,1.0,39,334.3099,5.769534038085938
TSLA,2025-08-14,2025-08-15,140.0,C,194.25,195.15,205.28,6.0,60,334.3099,5.304690869140623
TSLA,2025-08-14,2025-08-15,145.0,C,188.95,190.1,160.42,1.0,54,334.3099,4.726566591796875
TSLA,2025-08-14,2025-08-15,150.0,C,184.0,184.9,183.45,23.0,917,334.3099,4.320317099609374
TSLA,2025-08-14,2025-08-15,155.0,C,178.95,179.95,179.9,2.0,65,334.3099,4.1562548046875
TSLA,2025-08-14,2025-08-15,160.0,C,174.1,174.85,180.49,36.0,2223,334.3099,4.074223657226563
TSLA,2025-08-14,2025-08-15,165.0,C,168.95,170.15,176.26,1.0,751,334.3099,4.1015673730468745
TSLA,2025-08-14,2025-08-15,170.0,C,164.25,165.4,163.8,21.0,457,334.3099,4.380863898925781
TSLA,2025-08-14,2025-08-15,175.0,C,159.2,160.4,164.76,3.0,145,334.3099,4.179692275390625
TSLA,2025-08-14,2025-08-15,180.0,C,154.0,154.9,159.07,1.0,397,334.3099,3.4023452441406246
TSLA,2025-08-14,2025-08-15,185.0,C,149.15,150.15,151.33,2.0,241,334.3099,3.6562508593750005
TSLA,2025-08-14,2025-08-15,190.0,C,144.0,145.25,147.83,2.0,429,334.3099,3.470704448242188
TSLA,2025-08-14,2025-08-15,195.0,C,139.15,140.2,145.93,1.0,116,334.3099,3.3964858837890626
TSLA,2025-08-14,2025-08-15,200.0,C,134.1,134.9,134.6,48.0,1364,334.3099,2.9765650585937498
TSLA,2025-08-14,2025-08-15,205.0,C,129.05,130.3,135.08,10.0,241,334.3099,3.113283466796875
TSLA,2025-08-14,2025-08-15,210.0,C,124.05,125.1,121.0,3.0,179,334.3099,2.843752890625
TSLA,2025-08-14,2025-08-15,215.0,C,118.95,120.25,117.63,1.0,726,334.3099,2.750003125
TSLA,2025-08-14,2025-08-15,220.0,C,114.3,114.9,113.48,6.0,1121,334.3099,2.621097197265625
TSLA,2025-08-14,2025-08-15,225.0,C,109.3,110.3,108.46,4.0,523,334.3099,2.702151682128906
TSLA,2025-08-14,2025-08-15,230.0,C,104.1,105.05,104.4,30.0,1389,334.3099,2.3437541406249993
TSLA,2025-08-14,2025-08-15,235.0,C,99.1,100.15,98.27,21.0,502,334.3099,2.279301176757812
TSLA,2025-08-14,2025-08-15,237.5,C,96.8,97.7,94.62,2.0,2,334.3099,2.3378947802734364
TSLA,2025-08-14,2025-08-15,240.0,C,94.15,95.2,93.02,75.0,1667,334.3099,2.208988852539062
TSLA,2025-08-14,2025-08-15,245.0,C,88.95,90.25,88.2,28.0,1650,334.3099,2.0175830810546875
TSLA,2025-08-14,2025-08-15,247.5,C,86.45,87.8,84.48,3.0,2,334.3099,1.984375078125
TSLA,2025-08-14,2025-08-15,250.0,C,84.3,84.85,83.91,72.0,7903,334.3099,1.876953740234375
